"","Individuo","Bloque.x","Tratamiento.x","AlturaTallo.x","DiamTallo.x","CobVeg_anc.x","CobVeg_lar.x","Rad.prom.x","Area.cob.x","Bloque.y","Tratamiento.y","AlturaTallo.y","DiamTallo.y","CobVeg_anc.y","CobVeg_lar.y","Rad.prom.y","Area.cob.y","dif.tallo","dif.alt","dif.cob"
"1",219,"B2",1,5.3,11.9,55,37,23,1661.902513749,"B2",1,10,11.5,66.5,49.5,29,2642.07942166902,0,4.7,980.176907920016
"2",220,"B2",1,1.7,10.2,26,25,12.75,510.705155749191,"B2",1,2.5,7.7,26,23,12.25,471.435247579318,0,0.8,0
"3",221,"B2",1,4,10.5,40,30,17.5,962.112750161874,"B2",1,9.3,11.3,70,67,34.25,3685.28453220168,0.800000000000001,5.3,2723.1717820398
"4",222,"B2",1,4.5,10.2,41,33,18.5,1075.21008569111,"B2",1,7,11.3,47,39,21.5,1452.20120412188,1.1,2.5,376.991118430775
"5",223,"B2",1,3.5,10.6,41,35,19,1134.11494794592,"B2",1,8,12.9,46,37,20.75,1352.65198691126,2.3,4.5,218.53703896534
"6",224,"B2",1,5,12.5,24,17,10.25,330.063578167778,"B2",1,3,11,25,24,12.25,471.435247579318,0,0,141.371669411541
"7",225,"B2",1,6.5,13.6,4.5,42,11.625,424.556794701533,"B2",1,6.5,13,52,47,24.75,1924.4218498646,0,0,1499.86505516306
"8",226,"B2",1,5.2,11.8,43,37,20,1256.63706143592,"B2",1,11,13,69,63,33,3421.19439975928,1.2,5.8,2164.55733832337
"9",227,"B2",1,3.7,11.1,55,46,25.25,2002.96166620434,"B2",1,9.5,14,68,63,32.75,3369.5544705159,2.9,5.8,1366.59280431156
"10",228,"B2",1,4.5,13.4,49,37,21.5,1452.20120412188,"B2",1,8,11.6,57,56,28.25,2507.1872871055,0,3.5,1054.98608298362
"11",230,"B2",1,7.5,12,63,49,28,2463.0086404144,"B2",1,13,16.2,52,48.5,25.125,1983.17944996377,4.2,5.5,0
"12",231,"B2",1,3.7,7.2,38,25,15.75,779.311327631118,"B2",1,4.5,9.2,52,39,22.75,1625.97054777357,2,0.8,846.659220142449
"13",233,"B2",1,5,11.5,51,50,25.25,2002.96166620434,"B2",1,4.5,11.8,70,47,29.25,2687.82886468692,0.300000000000001,0,684.867198482575
"14",235,"B2",1,6.3,10.7,51,45,24,1809.55736846772,"B2",1,8.5,11.7,67,49,29,2642.07942166902,1,2.2,832.522053201295
"15",236,"B2",1,2.7,7.7,21,15.5,9.125,261.586675796563,"B2",1,5.5,8.5,30,26,14,615.752160103599,0.8,2.8,354.165484307037
"16",237,"B2",1,6,11.1,48,40,22,1520.53084433746,"B2",1,11,12.8,54,50,26,2123.7166338267,1.7,5,603.18578948924
"17",239,"B2",1,9.5,10.6,46,37,20.75,1352.65198691126,"B2",1,8.5,12.2,68,45,28.25,2507.1872871055,1.6,0,1154.53530019425
"18",240,"B2",6,6.5,9.7,54,51,26.25,2164.75368786422,"B2",6,11,14.5,69,65,33.5,3525.65235549115,4.8,4.5,1360.89866762693
"19",241,"B2",6,4.5,9.2,41,35,19,1134.11494794592,"B2",6,10.5,10.2,55,51,26.5,2206.18344098343,1,6,1072.06849303752
