Bloque,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
B2T1,236,2,6,19,8
B2T1,231,3,6.7,20,17
B2T1,220,2.5,8.1,21,20
B2T1,224,3,9.7,24,21
B2T1,227,2.8,8,29,21
B2T1,223,2.5,9.5,31,21.5
B2T1,229,4,9.5,24,22.5
B2T1,219,3,8.2,25,23
B2T1,232,2.5,10,27,23
B2T1,235,3.5,8.6,36,24
B2T1,221,3.7,9.1,35,27
B2T1,228,3,4.1,31,28
B2T1,233,3.5,10.7,33,28
B2T1,257,4,9.9,36,30
B2T1,234,4.2,10.7,31.5,31
B2T1,238,3.8,10.6,37,31
B2T1,239,3.3,10.9,32,31.5
B2T1,222,3.7,8.6,33,32
B2T1,230,4,12.2,40,35
B2T1,225,3.5,10,38,36
B2T1,226,3.2,10.1,38,36
B2T2,307,2.8,4.8,16,12
B2T2,314,4.3,10.1,32,17
B2T2,300,3,8.6,24,19
B2T2,301,3.3,7.8,22,21
B2T2,315,3,6.9,20,25
B2T2,316,3.7,10.2,38,26
B2T2,305,4.3,10.6,31,29
B2T2,321,4.3,10.5,34,29
B2T2,317,4,10.2,17,30
B2T2,303,3.2,10.7,31,30
B2T2,304,5,12.7,41,30
B2T2,310,4.2,9.8,42,30
B2T2,319,4.5,11.6,44,30
B2T2,309,4.3,10.3,37,31
B2T2,308,3.7,10.2,33,32
B2T2,311,4,10.2,33,32
B2T2,318,3.7,12.5,34,34
B2T2,302,3.5,10.3,39,34.5
B2T2,306,3.5,12,41,37
B2T2,312,5.3,14.6,39,39
B2T2,320,7,12.8,46,43
B2T2,313,5.8,13.8,49,47
B2T3,277,1,2.5,5,3
B2T3,266,1.3,2.3,8.5,5.5
B2T3,274,1,2.7,10,8
B2T3,270,2.3,3.6,16.5,11
B2T3,268,2.5,4.1,18,12
B2T3,264,1.5,5.5,18,12
B2T3,273,2.2,5.7,13,13
B2T3,278,2.2,4.8,17.5,13
B2T3,279,2,3.7,19,13.7
B2T3,272,2,3.7,15,15
B2T3,275,3.2,6.3,23,16
B2T3,267,1.5,6,28,20
B2T3,271,2.5,6.1,28,21
B2T3,265,2,5.8,26,23
B2T3,269,NA,NA,NA,NA
B2T4,342,4.9,3.5,19.5,14.5
B2T4,340,3.3,7.5,32,16.5
B2T4,327,1.7,7.6,18,17.5
B2T4,328,2.7,9.6,25,18
B2T4,323,2.5,6.3,25,19
B2T4,338,2.3,9.1,22,21
B2T4,337,3.2,9.7,36,21
B2T4,332,3,7.9,25,22
B2T4,324,2.5,9.4,32,23
B2T4,334,3,11.8,32,24
B2T4,331,3,9,38,24
B2T4,341,3,6,28,25
B2T4,339,4,9.7,36,25
B2T4,344,3.5,7.7,32,26
B2T4,322,2,9,28,27
B2T4,329,3.3,10.7,34,28
B2T4,326,4.2,9.2,42,28
B2T4,335,3.2,8.8,36,29
B2T4,330,3.5,4.9,31.5,31
B2T4,325,3.8,10.6,33.5,31
B2T4,333,4,11.8,36,33
B2T4,336,3.5,8.3,36,34
B2T4,343,4,11.4,36,36
B2T5,365,1,7.7,11,4
B2T5,349,3.5,5.5,27,13
B2T5,364,3.2,9.2,31,19
B2T5,363,3.2,9.2,31,19
B2T5,352,4,9.4,27,20
B2T5,346,2.7,7.3,28,22
B2T5,357,3,9.5,36,22
B2T5,361,3,11.1,38,22
B2T5,345,3,8.4,31,23
B2T5,366,3.2,7.6,26.5,25
B2T5,347,4.2,9.1,32,26
B2T5,359,3.8,9.5,33,27
B2T5,351,3.5,10.3,30,28
B2T5,353,4,9.4,32,29
B2T5,368,4,9.8,32,30
B2T5,348,2.7,9.2,33,30
B2T5,367,3,9,34,30
B2T5,362,3.5,11.5,34,32
B2T5,354,3.3,10.6,37,33
B2T5,350,3.8,9.8,30,34
B2T5,360,3.5,9.6,34,34
B2T5,355,4.5,10.2,40,34
B2T5,356,4.5,11.5,24,36
B2T5,358,4.5,11.5,40,38
B2T6,262,3.3,8.3,21,10
B2T6,253,1.5,5.6,18,12
B2T6,252,1.7,7.2,21,13.5
B2T6,245,4,9.4,22,17
B2T6,260,2,9,24,17
B2T6,261,3.8,9.4,24,19
B2T6,258,3.5,7.9,25,19
B2T6,242,2.2,5.3,13.5,19.5
B2T6,244,2.3,8.8,24.5,20
B2T6,247,2.8,8.3,24,22
B2T6,257,3,8.8,24,23
B2T6,256,2.8,6.9,25,23
B2T6,255,3.5,9.3,25,23
