"","Individuo","Bloque.x","Tratamiento.x","AlturaTallo.x","DiamTallo.x","CobVeg_anc.x","CobVeg_lar.x","Rad.prom.x","Area.cob.x","Bloque.y","Tratamiento.y","AlturaTallo.y","DiamTallo.y","CobVeg_anc.y","CobVeg_lar.y","Rad.prom.y","Area.cob.y","dif.tallo","dif.alt","dif.cob"
"1",219,"B2",1,3,8.2,25,23,12,452.38934211693,"B2",1,10,11.5,66.5,49.5,29,2642.07942166902,3.3,7,2189.69007955209
"2",220,"B2",1,2.5,8.1,21,20,10.25,330.063578167778,"B2",1,2.5,7.7,26,23,12.25,471.435247579318,0,0,141.371669411541
"3",221,"B2",1,3.7,9.1,35,27,15.5,754.767635024948,"B2",1,9.3,11.3,70,67,34.25,3685.28453220168,2.2,5.6,2930.51689717673
"4",222,"B2",1,3.7,8.6,33,32,16.25,829.576810088555,"B2",1,7,11.3,47,39,21.5,1452.20120412188,2.7,3.3,622.624394033327
"5",223,"B2",1,2.5,9.5,31,21.5,13.125,541.188421966054,"B2",1,8,12.9,46,37,20.75,1352.65198691126,3.4,5.5,811.463564945201
"6",224,"B2",1,3,9.7,24,21,11.25,397.607820219958,"B2",1,3,11,25,24,12.25,471.435247579318,1.3,0,73.8274273593602
"7",225,"B2",1,3.5,10,38,36,18.5,1075.21008569111,"B2",1,6.5,13,52,47,24.75,1924.4218498646,3,3,849.211764173491
"8",226,"B2",1,3.2,10.1,38,36,18.5,1075.21008569111,"B2",1,11,13,69,63,33,3421.19439975928,2.9,7.8,2345.98431406818
"9",227,"B2",1,2.8,8,29,21,12.5,490.873852123405,"B2",1,9.5,14,68,63,32.75,3369.5544705159,6,6.7,2878.6806183925
"10",228,"B2",1,3,4.1,31,28,14.75,683.492751696629,"B2",1,8,11.6,57,56,28.25,2507.1872871055,7.5,5,1823.69453540887
"11",230,"B2",1,4,12.2,40,35,18.75,1104.46616727766,"B2",1,13,16.2,52,48.5,25.125,1983.17944996377,4,9,878.713282686108
"12",231,"B2",1,3,6.7,20,17,9.25,268.802521422777,"B2",1,4.5,9.2,52,39,22.75,1625.97054777357,2.5,1.5,1357.16802635079
"13",233,"B2",1,3.5,10.7,33,28,15.25,730.616641500476,"B2",1,4.5,11.8,70,47,29.25,2687.82886468692,1.1,1,1957.21222318644
"14",235,"B2",1,3.5,8.6,36,24,15,706.858347057703,"B2",1,8.5,11.7,67,49,29,2642.07942166902,3.1,5,1935.22107461131
"15",236,"B2",1,2,6,19,8,6.75,143.138815279185,"B2",1,5.5,8.5,30,26,14,615.752160103599,2.5,3.5,472.613344824414
"16",239,"B2",1,3.3,10.9,32,31.5,15.875,791.73043608984,"B2",1,8.5,12.2,68,45,28.25,2507.1872871055,1.3,5.2,1715.45685101566
"17",240,"B2",6,3.7,9.5,30,30,15,706.858347057703,"B2",6,11,14.5,69,65,33.5,3525.65235549115,5,7.3,2818.79400843344
"18",241,"B2",6,3,9.3,39,25,16,804.247719318987,"B2",6,10.5,10.2,55,51,26.5,2206.18344098343,0.899999999999999,7.5,1401.93572166445
"19",242,"B2",6,2.2,5.3,13.5,19.5,8.25,213.824649984955,"B2",6,7.3,8.3,40,47,21.75,1486.16967468882,3,5.1,1272.34502470387
"20",243,"B2",6,3.8,7.3,33,29,15.5,754.767635024948,"B2",6,5.5,11,56,52,27,2290.22104446696,3.7,1.7,1535.45340944201
"21",244,"B2",6,2.3,8.8,24.5,20,11.125,388.821178266949,"B2",6,8,10.6,48,42,22.5,1590.43128087983,1.8,5.7,1201.61010261288
"22",245,"B2",6,4,9.4,22,17,9.75,298.64765163188,"B2",6,4.3,10,44,43,21.75,1486.16967468882,0.6,0.3,1187.52202305694
"23",245,"B2",6,4,9.4,22,17,9.75,298.64765163188,"B2",6,4.5,8.4,44,40,21,1385.4423602331,0,0.5,1086.79470860122
"24",246,"B2",6,3.8,8.6,24,24,12,452.38934211693,"B2",6,9,11,67,55,30.5,2922.4665660019,2.4,5.2,2470.07722388497
"25",247,"B2",6,2.8,8.3,24,22,11.5,415.47562843725,"B2",6,6,9.8,58,51,27.25,2332.82889483127,1.5,3.2,1917.35326639402
"26",248,"B2",6,3,7.8,32,24,14,615.752160103599,"B2",6,7,10.6,58,57,28.75,2596.72267773281,2.8,4,1980.97051762921
"27",249,"B2",6,4.2,11.2,35,27,15.5,754.767635024948,"B2",6,7.5,10,48,43,22.75,1625.97054777357,0,3.3,871.202912748619
"28",251,"B2",6,3,9.4,23,32,13.75,593.95736106932,"B2",6,2.7,8.5,38,36.5,18.625,1089.78903909917,0,0,495.831678029851
"29",252,"B2",6,1.7,7.2,21,13.5,8.625,233.705040995953,"B2",6,5,7.4,29,27,14,615.752160103599,0.2,3.3,382.047119107646
"30",253,"B2",6,1.5,5.6,18,12,7.5,176.714586764426,"B2",6,5,9,37,35,18,1017.87601976309,3.4,3.5,841.161432998667
"31",254,"B2",6,3,11.3,30,23.5,13.375,562.001473296087,"B2",6,5,10.4,54.5,46,25.125,1983.17944996377,0,2,1421.17797666768
"32",255,"B2",6,3.5,9.3,25,23,12,452.38934211693,"B2",6,8.5,11.1,52,49,25.25,2002.96166620434,1.8,5,1550.57232408741
"33",256,"B2",6,2.8,6.9,25,23,12,452.38934211693,"B2",6,6.5,8,54.5,39,23.375,1716.53677349034,1.1,3.7,1264.14743137341
"34",257,"B2",6,3,8.8,24,23,11.75,433.736135736241,"B2",6,7.5,11,58,47,26.25,2164.75368786422,2.2,4.5,1731.01755212798
"35",257,"B2",1,4,9.9,36,30,16.5,855.298599939821,"B2",6,7.5,11,58,47,26.25,2164.75368786422,1.1,3.5,1309.4550879244
"36",258,"B2",6,3.5,7.9,25,19,11,380.132711084365,"B2",6,7,9,54,36,22.5,1590.43128087983,1.1,3.5,1210.29856979547
"37",259,"B2",6,3.3,8.5,33,34,16.75,881.413088872786,"B2",6,8,8.5,62,58,30,2827.43338823081,0,4.7,1946.02029935803
"38",260,"B2",6,2,9,24,17,10.25,330.063578167778,"B2",6,3.5,6.6,35,28,15.75,779.311327631118,0,1.5,449.24774946334
"39",261,"B2",6,3.8,9.4,24,19,10.75,363.05030103047,"B2",6,3,8.7,29,19,12,452.38934211693,0,0,89.3390410864598
"40",262,"B2",6,3.3,8.3,21,10,7.75,188.691908756237,"B2",6,6,8.7,42,36,19.5,1194.59060652752,0.399999999999999,2.7,1005.89869777128
"41",263,"B2",6,4,11.7,25,25,12.5,490.873852123405,"B2",6,8.5,12,62,45,26.75,2248.00589318435,0.300000000000001,4.5,1757.13204106094
"42",264,"B2",3,1.5,5.5,18,12,7.5,176.714586764426,"B2",3,5,8,46,42,22,1520.53084433746,2.5,3.5,1343.81625757303
"43",265,"B2",3,2,5.8,26,23,12.25,471.435247579318,"B2",3,4,8.6,52,42,23.5,1734.94454294496,2.8,2,1263.50929536564
"44",267,"B2",3,1.5,6,28,20,12,452.38934211693,"B2",3,2.3,8.5,33,31,16,804.247719318987,2.5,0.8,351.858377202057
"45",268,"B2",3,2.5,4.1,18,12,7.5,176.714586764426,"B2",3,5.5,7.3,41,43,21,1385.4423602331,3.2,3,1208.72777346867
"46",270,"B2",3,2.3,3.6,16.5,11,6.875,148.48934026733,"B2",3,4.5,7,40,37,19.25,1164.15642769587,3.4,2.2,1015.66708742854
"47",271,"B2",3,2.5,6.1,28,21,12.25,471.435247579318,"B2",3,2.5,6,32,28,15,706.858347057703,0,0,235.423099478385
"48",271,"B2",3,2.5,6.1,28,21,12.25,471.435247579318,"B2",3,4,8.3,52,45,24.25,1847.45282985165,2.2,1.5,1376.01758227233
"49",272,"B2",3,2,3.7,15,15,7.5,176.714586764426,"B2",3,4.5,7.6,45.5,44,22.375,1572.8089095886,3.9,2.5,1396.09432282418
"50",273,"B2",3,2.2,5.7,13,13,6.5,132.732289614169,"B2",3,4.5,9.3,45,36,20.25,1288.24933751266,3.6,2.3,1155.5170478985
"51",275,"B2",3,3.2,6.3,23,16,9.75,298.64765163188,"B2",3,4,8,47,36,20.75,1352.65198691126,1.7,0.8,1054.00433527938
"52",278,"B2",3,2.2,4.8,17.5,13,7.625,182.654160375119,"B2",3,5,6,43,37.5,20.125,1272.39411208908,1.2,2.8,1089.73995171396
"53",280,"B2",7,4.5,11.4,45,42,21.75,1486.16967468882,"B2",7,8,11.7,62,58,30,2827.43338823081,0.299999999999999,3.5,1341.26371354199
"54",281,"B2",7,3.2,12.9,27,27,13.5,572.55526111674,"B2",7,9,9.8,59,57,29,2642.07942166902,0,5.8,2069.52416055228
"55",282,"B2",7,3.5,10.8,36,32,17,907.92027688745,"B2",7,4.5,11.9,43,42,21.25,1418.62543263664,1.1,1,510.705155749191
"56",283,"B2",7,3.5,7.6,31,21,13,530.929158456675,"B2",7,5,6.3,48,34,20.5,1320.25431267111,0,1.5,789.325154214435
"57",284,"B2",7,5.2,11.1,36,33,17.25,934.820163983813,"B2",7,8,12.8,43,42,21.25,1418.62543263664,1.7,2.8,483.805268652828
