Bloque,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
B3T2,501,11,10.7,74,67
B3T2,496,10.5,13.2,80,67
B3T2,499,21.5,13.6,79,69
B3T2,506,13.5,11.3,75,70
B3T2,491,7.5,12.1,79,70
B3T2,490,15.5,16.5,74,71
B3T2,505,13,12.6,92,85
B3T3,397,3,3.3,21,22
B3T3,391,2.5,4.2,30,22
B3T3,394,3,4.8,35,26
B3T3,396,4,4.9,33,27
B3T3,389,3.7,9.7,29,28
B3T3,387,3.5,5.9,48,30
B3T3,398,3,6.3,35,34
B3T3,390,8,3,43,36
B3T3,392,6,9.4,58,39
B3T3,386,5,7.2,34,40
B3T3,385,7,9.5,53,47
B3T3,388,6.5,7.1,52,48
B3T3,384,7.5,11.8,61,57
B3T3,393,7,8.4,68,61
B3T3,395,NA,NA,NA,NA
B3T4,478,3.5,12.8,49,36
B3T4,471,7.5,9.3,56,38
B3T4,482,11,10.3,57,40
B3T4,481,6.5,9.3,50,42
B3T4,466,11.3,10.5,52,49
B3T4,465,10,10.7,53,49
B3T4,467,9.5,13.1,61,52
B3T4,469,13.5,12.8,62,54
B3T4,484,12,12.1,58,55
B3T4,468,7.5,10.9,64,57
B3T4,476,10.5,10.5,65,60
B3T4,480,17,13.9,79,60
B3T4,470,14.2,13,80,60
B3T4,475,10.5,10.7,80,62
B3T4,473,13.5,12,66,65
B3T4,474,8,13.4,66,65
B3T4,483,12,13.1,91,65
B3T4,472,10.3,13,78,66
B3T4,486,8.5,13.5,79,68
B3T4,477,12,11.5,73,69
B3T4,485,14,12.9,82,75
B3T4,479,11,11.8,87,75
B3T5,415,8,12.1,47,25
B3T5,409,13.5,12.2,54,40
B3T5,417,12,11.6,62,42
B3T5,405,5.5,10.3,57,46
B3T5,408,8,14.7,59,46
B3T5,406,11,11.8,59,47
B3T5,420,6.8,12.2,51,50
B3T5,400,11.5,12.7,62,52
B3T5,413,10,13.5,65,52
B3T5,419,10,11.4,54,53
B3T5,411,13,13.3,61,53
B3T5,416,13,11.4,68,56
B3T5,407,10,10,62,59
B3T5,412,9,13,65,59
B3T5,399,11,13.5,72,59
B3T5,402,10.5,12.9,61,60
B3T5,414,12,15.8,63,60
B3T5,403,7.5,10,64,60
B3T5,418,5,11.9,60,62
B3T5,401,8,10.2,65,63
B3T5,410,13,14.2,72,63
B3T5,404,14,13.5,83,80
B3T6,421,5,10.1,37,34
B3T6,439,9.5,10,38,37
B3T6,444,10.3,12.3,43,39
B3T6,422,2,10,42,41
B3T6,428,11.5,13.6,54,41
B3T6,426,7.3,9.3,45,43
B3T6,430,7,11.4,46,45
B3T6,434,3,9.6,48,45
B3T6,435,8.7,10.8,56,45
B3T6,433,6,11.2,49,46
B3T6,443,9.5,11.1,50,46
B3T6,441,11,12.2,49,47
B3T6,423,9,12.2,54,49
B3T6,442,5.5,13.3,56,49
B3T6,432,4.5,9.5,59,50
B3T6,431,5,12,67,52
B3T6,424,9.5,10.4,43,54
B3T6,436,10,9.8,57,55
B3T6,425,10.5,9.7,59,55
B3T6,438,11.4,NA,74,55
B3T6,440,11,10.3,67,56
B3T6,437,8,12.4,70,67
B3T6,427,NA,NA,NA,NA
B3T7,383,8,13.6,36,30
B3T7,381,6.5,13,52,40
B3T7,374,10,11.2,55,44
B3T7,370,12,7.8,45,47
B3T7,387,8.5,10.2,64,47
B3T7,372,7,9.7,53,52
B3T7,371,6.5,10.4,62,52
B3T7,373,11.5,13.6,93,54
B3T7,380,9.5,8.5,60,57
B3T7,375,10,11,68,58
B3T7,378,7,12,64,59
B3T7,382,9,12.3,76,64
B3T7,376,5.5,10.9,66,65
B3T7,369,9,14,83,68
B3T7,379,NA,NA,NA,NA
B3T7,383,NA,NA,NA,NA
B4T1,645,5,10.4,39,32
B4T1,644,4,7.7,41,33
B4T1,637,5.5,9.9,44,35
B4T1,640,6.4,12.8,47,36
B4T1,643,5.7,10.6,48,37
B4T1,642,4.5,9.8,40,39
B4T1,634,5,11.7,43,42
B4T1,641,9,11.7,50,45
B4T1,636,8,11.1,49,46
B4T1,638,7.5,10.5,54,47
B4T1,635,4,12,55,47.5
B4T1,647,9,12.4,56,49
B4T1,633,5.5,10.4,51,50
B4T1,639,8.3,10.4,53,52
B4T1,646,9,11,62,53
B4T1,648,6.5,13.8,56,55
B4T1,649,NA,NA,NA,NA
B4T2,562,5.5,12.5,36,29
B4T2,555,4,10.7,36,34
B4T2,551,5,12.3,36,35
B4T2,558,6.5,12.6,46,39
B4T2,553,4.5,12.2,47,46
B4T2,563,7,12.6,50,47
B4T2,549,7.5,14.3,60,49
B4T2,567,11.5,12.5,62,52
B4T2,559,7.5,11.5,62,55
B4T2,559,7.5,9.8,60,56
B4T2,560,14.5,13.3,76,81
B4T2,NA,11.5,13.8,NA,NA
B4T3,629,2,8.4,26,22
B4T3,622,5.3,8.3,35,28.5
B4T3,616,5.5,11.6,41,29
B4T3,628,7.3,9,45,30.5
B4T3,623,6.5,10.7,33.5,31
B4T3,631,5.8,7.1,35,31
B4T3,632,4,7.6,36,34
B4T3,611,6,10.2,44,34.5
B4T3,625,7.5,9.3,36.5,35
B4T3,618,7,7.9,37.5,35.5
B4T3,615,6.5,11.1,36,38
B4T3,624,7.5,7.7,40,38
B4T3,627,8.7,10.6,42,40
B4T3,612,5,9.7,51,40
B4T3,614,3.8,9.4,46,43.5
B4T3,626,7.3,8.2,53.5,44
B4T3,620,8,9.1,58,44
B4T3,613,10.5,11,49,45
B4T3,610,7.7,9.1,52,47
B4T3,630,5.2,9.4,54,47
B4T3,619,7.5,11,51,49
B4T3,617,8,16.8,49,55.5
B4T4,587,6,13.1,39,29
B4T4,592,5,14.2,32,30
B4T4,607,3.5,9.4,45,35
B4T4,594,7.8,15.2,48,37
B4T4,600,8,11.6,45,38
B4T4,605,7.3,14,54.5,39
B4T4,603,5.5,10.4,66,40
B4T4,601,4.3,14.7,30,40.5
B4T4,597,6,17.3,42,43
B4T4,593,12,16.5,45,43
B4T4,591,7.5,10.5,54,43
B4T4,590,9,13.8,59,43
B4T4,594,7.5,17.5,44,45
B4T4,599,6,16.1,44,47
B4T4,596,8,10.2,46,47
B4T4,588,7,13.5,47,47
B4T4,589,7.8,18,43,49
B4T4,609,14.5,12.5,56,50
B4T4,608,8.3,16.9,67,51
B4T4,602,8.5,9.9,50,53
B4T4,595,8.3,12,54.5,55
B4T4,606,7,14.9,60,55
B4T4,604,12.5,13.4,70,73
B4T5,575,9.8,12.8,49,30
B4T5,571,6.5,11.7,45,35
B4T5,576,7.3,9.8,33.5,37
B4T5,580,9.5,14.5,68,37
B4T5,577,9,17,34,38
B4T5,581,11.5,13.8,35,39
B4T5,565,10.5,14.9,43,42
B4T5,575,5,10.9,30,44
B4T5,574,9.3,10.8,64,44
B4T5,582,3.6,17.3,41,45
B4T5,567,10.5,15.4,66,45
B4T5,584,6.8,15.8,70,46
B4T5,568,5,16.4,50,48
B4T5,583,11,13.6,52,48
B4T5,569,11,13.3,42.5,49
B4T5,570,7.5,17.8,71,49
B4T5,572,12.5,15.5,70,50
B4T5,585,18.5,14.5,55,54
B4T5,586,8.5,14.5,66,58
B4T5,566,9.5,17,64,61
B4T5,579,6.5,16.8,65,62
B4T5,578,10,16.6,59.5,75
B4T6,535,9,10.4,41,37
B4T6,540,5,9.2,27,42
B4T6,536,5.5,8.6,37,42
B4T6,541,5,12.6,52,46
B4T6,542,5.5,13.2,65,48
B4T6,545,5,14.1,72,52
B4T6,539,12.1,13.4,80,52
B4T6,542,7.5,11.7,62,53
B4T6,543,9.5,21.6,65,56
B4T6,537,8.5,14.2,52,58
B4T6,544,5,11.5,57,59
B4T6,530,15,16.3,65,62
B4T6,529,11.5,14,69,72
B4T6,538,8.5,13.6,70,77
B4T6,531,10.5,12.8,59,79
B4T6,528,13,12.7,80,81
B4T6,532,14.5,12.9,83,84
B4T6,533,13.5,17.7,91,87
B4T6,541,NA,NA,NA,NA
B4T7,526,8.7,5.2,25,17.5
B4T7,527,5.7,7.5,39,33
B4T7,515,8.1,7,40,37
B4T7,513,10,13.5,36.5,38
B4T7,525,9.7,5.5,49,41
B4T7,520,11.4,6,50,41
B4T7,521,10,7.5,49,43
B4T7,517,13.9,11.3,49,45
B4T7,508,10.8,6.5,48,46
B4T7,522,9.4,6.5,50,47
B4T7,524,11.3,9,57,54
B4T7,518,10.9,15,62,54
B4T7,516,9.8,11.5,46,55
B4T7,512,12.3,10,71,56
B4T7,523,12.9,12,56,57.5
B4T7,509,12.3,14.5,68,63
B4T7,519,11.3,14.5,73,69
B4T7,507,17.7,8.5,61,73
B4T7,514,14.8,16,87,73.5
B4T7,411,12.8,15.5,78,75
B4T7,510,12.6,17.5,89,79.5
B5T1,693,3.5,5.8,20,21
B5T1,703,2,7.4,47,29
B5T1,699,8.7,10.9,40,39
B5T1,708,7.5,8.7,46,39
B5T1,700,4.2,5.5,36,41
B5T1,691,6.5,11.5,46,41
B5T1,687,5,9.2,52,41
B5T1,707,8.5,8.3,38,42.5
B5T1,688,4.2,9.1,49,44
B5T1,702,8.5,10.2,52,44
B5T1,701,10,12.1,68,49
B5T1,698,10.5,14.3,82,52
B5T1,689,10,8.1,48.5,54
B5T1,705,5.5,12.5,49,54
B5T1,704,8.2,10.2,48.5,54.5
B5T1,692,8,11.2,41,56
B5T1,706,9.5,12.1,48,57
B5T1,697,14,12.3,66,57
B5T1,695,8.5,11.8,56,60
B5T1,696,9.3,9.6,53,61
B5T1,698,12.5,11.6,68,63
B5T1,694,9,13.1,63,66
B5T1,690,11.5,12.6,72,73
B5T1,709,NA,NA,NA,NA
B5T2,739,1,6.2,19,16
B5T2,744,5,6.4,24,20
B5T2,742,3.5,6.7,22,21
B5T2,733,3.5,4.7,23,23
B5T2,737,4,9.3,24,23
B5T2,745,5,8.5,46,35
B5T2,740,6.5,10.4,64,37
B5T2,735,7.5,10.5,43,39
B5T2,734,7.4,10.4,52,45
B5T2,738,8.5,8.8,58,52
B5T2,743,7.5,12.6,56,55
B5T2,741,15,12.9,63,59
B5T2,746,9,12,67,62
B5T2,747,9.7,11.6,68,64
B5T2,736,NA,NA,NA,NA
B5T3,715,6,13,56,14
B5T3,717,2,6.5,35,16
B5T3,710,4.2,3.5,18.5,17
B5T3,713,2.3,5.3,26,18
B5T3,714,2.5,5.5,21,20
B5T3,724,4.2,5.1,22,21
B5T3,728,2,5.4,22,21
B5T3,731,4.8,6.8,28,21
B5T3,722,4.5,4.5,29.5,22
B5T3,729,3.8,10.3,29,26
B5T3,723,4.7,5.7,33,32
B5T3,721,6,8,47,32
B5T3,718,5,6.9,42,33
B5T3,725,5.2,6.4,39,36
B5T3,712,6.5,8,40,38
B5T3,711,4.5,8.5,41,38
B5T3,732,6.3,8.2,44,39
B5T3,730,4.5,9.4,46,42
B5T3,719,6.5,7.5,49,44
B5T3,727,7.5,7.7,48,45
B5T3,720,7.7,10.5,52,46
B5T3,726,7,11.1,48,47
B5T4,785,7.5,9.8,48,36
B5T4,774,7.5,5.4,44,38
B5T4,779,11,11.2,54,38
B5T4,782,6,8.8,60,38
B5T4,773,8.5,8.35,42,41
B5T4,777,7,8.6,46.5,41
B5T4,769,11.5,11.8,60,41
B5T4,784,8.3,9.4,51,42
B5T4,766,9,11.6,56,43
B5T4,781,6.7,10,45,43.5
B5T4,783,10.4,9,50,44
B5T4,772,10,10.7,55,45
B5T4,771,8.5,9.1,60,46
B5T4,768,10,11.3,60,46
B5T4,778,10.5,10.4,54.5,47
B5T4,780,11,12,59,48
B5T4,770,8.2,10.2,54,51
B5T4,665,8.2,11.7,64,55
B5T4,664,10.7,9.8,58,56
B5T4,767,11,12.6,62,56
B5T4,776,6.5,11.7,76,60
B5T4,775,10,11.2,86,68
B5T5,686,2.5,5.5,23,18
B5T5,668,8.7,11.2,34,34
B5T5,684,10.8,10.2,36,34
B5T5,685,11,11.6,42,38
B5T5,672,12.2,14.5,62,40
B5T5,676,7,20.9,46,46
B5T5,681,10.5,12.2,56,52
B5T5,682,10.5,11.8,67,55
B5T5,671,7.3,9.2,62,56
B5T5,677,13,11.6,63,56
B5T5,673,8.8,10.7,66,56
B5T5,674,14,13.2,65,58
B5T5,679,14,12.1,76,59
B5T5,667,14.5,11.3,89,59
B5T5,683,10,13.4,56,60
B5T5,675,14.5,13.6,68,63
B5T5,678,12,14.5,66,64
B5T5,680,15,12.1,73,65
B5T5,670,12,12.2,75,67
B5T5,669,14.5,13.3,90,79
B5T6,656,3.7,5.6,14.5,12
B5T6,653,18,13.4,35,23.5
B5T6,658,6.5,10.1,36,34
B5T6,657,10.5,10.2,36,35
B5T6,652,6.5,10.7,45,36
B5T6,661,12.2,14,53,38
B5T6,664,13,10.7,64,42
B5T6,666,8.5,13.6,45,43
B5T6,649,10.5,12.4,63,51
B5T6,665,7.5,14.5,63,51
B5T6,660,11.5,11.3,75,52
B5T6,651,11,10.5,63,54
B5T6,655,9,12.4,59,57
B5T6,663,12.5,13,60,59
B5T6,659,6.5,12.9,70,59
B5T6,650,7.5,13.9,71,59
B5T6,662,11.5,14.3,79,68
B5T7,763,7,7,3.7,3.3
B5T7,755,2.5,4.2,18,19
B5T7,761,7.5,19,30,27
B5T7,760,4,7.6,37,35
B5T7,748,8.5,8.1,40,39
B5T7,750,2.5,8.5,40,40
B5T7,762,8,10,67,46
B5T7,754,6,11.5,65,47
B5T7,749,4,8.6,67,48
B5T7,758,6.5,9.9,56,53
B5T7,753,8.5,11.2,64,57
B5T7,759,11.5,12.3,60,59
B5T7,757,11,9.8,62,59
B5T7,751,10.5,11.6,75,60
B5T7,752,10.5,12.8,90,72
B5T7,756,12.5,14,76,73
