"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob"
"1","B2",1,220,2.5,7.7,26,23,12.25,471.435247579318
"2","B2",1,224,3,11,25,24,12.25,471.435247579318
"3","B2",1,236,5.5,8.5,30,26,14,615.752160103599
"4","B2",1,223,8,12.9,46,37,20.75,1352.65198691126
"5","B2",1,222,7,11.3,47,39,21.5,1452.20120412188
"6","B2",1,231,4.5,9.2,52,39,22.75,1625.97054777357
"7","B2",1,239,8.5,12.2,68,45,28.25,2507.1872871055
"8","B2",1,225,6.5,13,52,47,24.75,1924.4218498646
"9","B2",1,233,4.5,11.8,70,47,29.25,2687.82886468692
"10","B2",1,230,13,16.2,52,48.5,25.125,1983.17944996377
"11","B2",1,235,8.5,11.7,67,49,29,2642.07942166902
"12","B2",1,219,10,11.5,66.5,49.5,29,2642.07942166902
"13","B2",1,237,11,12.8,54,50,26,2123.7166338267
"14","B2",1,228,8,11.6,57,56,28.25,2507.1872871055
"15","B2",1,227,9.5,14,68,63,32.75,3369.5544705159
"16","B2",1,226,11,13,69,63,33,3421.19439975928
"17","B2",1,221,9.3,11.3,70,67,34.25,3685.28453220168
"18","B2",2,315,7.5,6.7,25,23,12,452.38934211693
"19","B2",2,307,6,5.5,37,33,17.5,962.112750161874
"20","B2",2,308,6,9.4,44,43,21.75,1486.16967468882
"21","B2",2,310,9,11.1,48,43,22.75,1625.97054777357
"22","B2",2,316,11,9.2,49,44,23.25,1698.22717880613
"23","B2",2,301,8.5,8.8,50,47,24.25,1847.45282985165
"24","B2",2,321,8,12.8,49,48,24.25,1847.45282985165
"25","B2",2,313,8.5,12,52,49,25.25,2002.96166620434
"26","B2",2,305,10,11.7,57,49,26.5,2206.18344098343
"27","B2",2,314,6.5,9.6,54,50,26,2123.7166338267
"28","B2",2,319,12,11.5,60,50,27.5,2375.82944427728
"29","B2",2,300,6.5,11.2,57,53,27.5,2375.82944427728
"30","B2",2,311,8,10.4,59,54,28.25,2507.1872871055
"31","B2",2,309,9.5,12.5,59,55,28.5,2551.75863287831
"32","B2",2,302,10,10.4,66,55,30.25,2874.75362757551
"33","B2",2,318,10,12.5,67,55,30.5,2922.4665660019
"34","B2",2,312,9,13.2,59,56,28.75,2596.72267773281
"35","B2",2,304,10,13.9,59,56,28.75,2596.72267773281
"36","B2",2,317,10,11.5,58,58,29,2642.07942166902
"37","B2",2,320,12,14.2,70,66,34,3631.6811075498
"38","B2",3,271,2.5,6,32,28,15,706.858347057703
"39","B2",3,267,2.3,8.5,33,31,16,804.247719318987
"40","B2",3,273,4.5,9.3,45,36,20.25,1288.24933751266
"41","B2",3,275,4,8,47,36,20.75,1352.65198691126
"42","B2",3,270,4.5,7,40,37,19.25,1164.15642769587
"43","B2",3,278,5,6,43,37.5,20.125,1272.39411208908
"44","B2",3,264,5,8,46,42,22,1520.53084433746
"45","B2",3,265,4,8.6,52,42,23.5,1734.94454294496
"46","B2",3,268,5.5,7.3,41,43,21,1385.4423602331
"47","B2",3,272,4.5,7.6,45.5,44,22.375,1572.8089095886
"48","B2",3,271,4,8.3,52,45,24.25,1847.45282985165
"49","B2",3,276,8.5,10.1,53,57,27.5,2375.82944427728
"50","B2",4,323,5,7,38,30,17,907.92027688745
"51","B2",4,327,3.5,9,37,32,17.25,934.820163983813
"52","B2",4,342,5.5,6.1,37,33,17.5,962.112750161874
"53","B2",4,338,5,8.3,38,35,18.25,1046.34670318625
"54","B2",4,326,4,11,53,35,22,1520.53084433746
"55","B2",4,334,3,7.3,38,36,18.5,1075.21008569111
"56","B2",4,322,2,10,37,37,18.5,1075.21008569111
"57","B2",4,344,8,7.9,42,39,20.25,1288.24933751266
"58","B2",4,330,8,8.7,50,39,22.25,1555.2847130678
"59","B2",4,341,7.5,7.3,53,40,23.25,1698.22717880613
"60","B2",4,335,7,10.2,45,43,22,1520.53084433746
"61","B2",4,331,8,8.6,49,45,23.5,1734.94454294496
"62","B2",4,328,6,9.2,43,48,22.75,1625.97054777357
"63","B2",4,336,6,10.5,63,48,27.75,2419.22269280499
"64","B2",4,340,7,9.2,50,49,24.75,1924.4218498646
"65","B2",4,337,7,11.1,63,52,28.75,2596.72267773281
"66","B2",4,325,9,10.9,64,52,29,2642.07942166902
"67","B2",4,332,7,9.9,56,54,27.5,2375.82944427728
"68","B2",4,324,7,10.4,57,54,27.75,2419.22269280499
"69","B2",4,329,4,11.6,70,55,31.25,3067.96157577128
"70","B2",4,333,11,12.9,59,56,28.75,2596.72267773281
"71","B2",4,343,7,11,75,68,35.75,4015.1517608286
"72","B2",5,346,4.5,7.8,36,27,15.75,779.311327631118
"73","B2",5,357,4.5,10.2,34,29,15.75,779.311327631118
"74","B2",5,345,4.5,11.3,38,33,17.75,989.798035421634
"75","B2",5,363,5.5,10.6,40,35,18.75,1104.46616727766
"76","B2",5,349,2,5.6,38,37,18.75,1104.46616727766
"77","B2",5,347,5.5,9.1,48,43,22.75,1625.97054777357
"78","B2",5,356,8.5,10.7,58,44,25.5,2042.82062299676
"79","B2",5,355,6.5,11.6,63,44,26.75,2248.00589318435
"80","B2",5,366,5.5,8.2,46,45,22.75,1625.97054777357
"81","B2",5,352,6,9.6,47,45,23,1661.902513749
"82","B2",5,362,6.5,9.4,48,45,23.25,1698.22717880613
"83","B2",5,361,7.5,8.7,57,48,26.25,2164.75368786422
"84","B2",5,354,8,11,60,48,27,2290.22104446696
"85","B2",5,350,8.8,12.5,54,49,25.75,2083.07227887088
"86","B2",5,351,9,9.8,57,49,26.5,2206.18344098343
"87","B2",5,366,6,7.8,49,51,25,1963.49540849362
"88","B2",5,348,6,11.6,58,53,27.75,2419.22269280499
"89","B2",5,368,7,11.2,65,53,29.5,2733.97100678652
"90","B2",5,353,9,9.9,59,55,28.5,2551.75863287831
"91","B2",5,359,5.5,10.2,59,56,28.75,2596.72267773281
"92","B2",5,367,6,10.6,67,56,30.75,2970.57220351
"93","B2",5,364,7.7,12.4,62,58,30,2827.43338823081
"94","B2",5,358,10,13.7,67,58,31.25,3067.96157577128
"95","B2",5,360,10,11.2,77,69,36.5,4185.386812745
"96","B2",6,261,3,8.7,29,19,12,452.38934211693
"97","B2",6,252,5,7.4,29,27,14,615.752160103599
"98","B2",6,260,3.5,6.6,35,28,15.75,779.311327631118
"99","B2",6,253,5,9,37,35,18,1017.87601976309
"100","B2",6,262,6,8.7,42,36,19.5,1194.59060652752
