,Bloque.1,Bloque.2,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
269,B3,6,428,4,11.9,33,26
254,B3,6,429,3,9.7,27,17
260,B3,6,430,4.2,8.6,29,22
273,B3,6,431,4.5,9.6,32,31
252,B3,6,432,3,9.3,24,16
262,B3,6,433,3,9.2,27,23
255,B3,6,434,4,10.4,33,19
274,B3,6,435,4,10,34,31
268,B3,6,436,4.2,12.3,36,25
276,B3,6,437,4.3,10.3,39,39
275,B3,6,438,5.2,13,36,35
253,B3,6,439,4,9.8,23,17
270,B3,6,440,4.2,8.6,33,27
263,B3,6,441,3.7,9.8,28,23
257,B3,6,442,4.2,10.7,28,21
272,B3,6,443,4,9,32,30
266,B3,6,444,4.3,10.5,26,24
151,B3,1,445,4.2,7.9,33,19
156,B3,1,447,3.7,9.6,25,24
162,B3,1,448,3.5,8.5,31,31
154,B3,1,449,2.5,8.8,32,23
168,B3,1,450,5,12.2,43,42
169,B3,1,450,4.5,10.3,47,42
164,B3,1,451,4.5,10.1,35,32
155,B3,1,452,3.5,11.1,32,23
165,B3,1,453,2.8,11,35,33
159,B3,1,454,4.5,11.4,36,29
158,B3,1,455,4.5,11.4,36,29
153,B3,1,456,2.5,7.7,23,23
167,B3,1,457,4.5,12.6,36,34
161,B3,1,459,4,10.8,33,30
166,B3,1,460,4.5,11.2,46,33
150,B3,1,461,3,6.8,24,18
160,B3,1,462,3.8,11.8,32,30
157,B3,1,463,3.5,11.7,33,28
163,B3,1,464,2.5,10.2,33,31
219,B3,4,465,4.5,7,35,32
152,B3,1,466,3.3,8,27,22
206,B3,4,466,3.8,11.1,20,18
209,B3,4,466,4.2,10.7,43,25
211,B3,4,467,4,11.2,31,27
210,B3,4,468,3,9.8,39,26
220,B3,4,469,5.5,11.8,36,32
212,B3,4,470,5.5,14.1,41,28
222,B3,4,470,4.5,14,37,34
208,B3,4,471,3.2,11.1,34,25
218,B3,4,472,3.8,14.6,40,31
221,B3,4,473,3.7,10.7,36.5,33
214,B3,4,474,4.7,11.9,33,31
216,B3,4,475,4.5,9.5,37,31
224,B3,4,476,3.3,9.6,36,36
229,B3,4,477,4,12.1,41,41
217,B3,4,478,3,9.8,37,31
223,B3,4,479,4.5,9.7,38,35
226,B3,4,480,4,13.3,44,38
207,B3,4,481,2.5,7.6,19,19
225,B3,4,482,4,11.7,38,37
213,B3,4,483,3.7,10.9,31,31
227,B3,4,484,4.5,13,39,40
228,B3,4,485,4.5,10,39.5,41
215,B3,4,486,4.3,10.5,35,31
173,B3,2,487,4.8,12,38,21
187,B3,2,488,5.5,14.8,28,36
174,B3,2,489,3.5,9.5,33,22
181,B3,2,490,4.7,13.9,36,31
176,B3,2,492,5,12.1,35,26
178,B3,2,493,4,12.6,39,29
175,B3,2,494,3.5,9.8,33,24.5
180,B3,2,496,4.5,11.6,33,31
179,B3,2,497,4.2,11.4,42,29
172,B3,2,498,2.5,5.3,19,10
190,B3,2,499,6.5,13.3,50,42
186,B3,2,500,3.5,12.2,36,35
182,B3,2,501,4,17.3,34,32
183,B3,2,502,4.5,14.4,47,32
177,B3,2,503,3,11.2,39,28
189,B3,2,504,3.3,8.1,44,39
185,B3,2,505,3,12.4,38,34
184,B3,2,506,4.5,11.1,40,33
433,B4,7,507,5,4.9,40,35
424,B4,7,508,3,10.7,32,27
427,B4,7,509,4,8.9,32,32
428,B4,7,510,5.5,11.4,47,32
432,B4,7,511,3.8,9.4,38,35
421,B4,7,512,3.2,11.4,33,26
430,B4,7,513,3.8,10.6,33,33
420,B4,7,514,3.5,11.2,25,24.5
418,B4,7,516,2.8,9.7,29.5,22
429,B4,7,517,4.7,11.7,48,32
426,B4,7,518,4.5,10.1,33,31
431,B4,7,519,3,10.6,37,34
417,B4,7,520,1.5,8.3,31,19
419,B4,7,521,3.7,9.1,27,23
414,B4,7,522,2.5,6.5,22,9.5
425,B4,7,523,2.5,10.4,31,29
422,B4,7,524,4.5,7.9,35,26
423,B4,7,525,1,7,27,27
415,B4,7,526,3.5,9.7,13,13
416,B4,7,527,3.2,5.1,21,13.5
409,B4,6,528,3.8,11.9,42,41
399,B4,6,529,3.5,12.3,34,31
406,B4,6,530,5.2,13,40,36
410,B4,6,531,4.5,12.7,43,42
405,B4,6,532,5,10.4,36.5,35
402,B4,6,533,5.2,15.2,49,32
411,B4,6,534,6,14.8,52,43
396,B4,6,535,3.5,9.4,23,20
407,B4,6,536,4,10.4,26,37
408,B4,6,537,5.8,13.4,43,37
