"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob"
"98","B2",5,350,5.5,11.1,51,42,23.25,1698.22717880613
"99","B2",5,358,7.5,13,48,43,22.75,1625.97054777357
"100","B2",5,354,4.5,11.4,53,43,24,1809.55736846772
"101","B2",5,360,5.5,10.6,57,43,25,1963.49540849362
"102","B2",5,364,5,11.1,47,45,23,1661.902513749
"103","B2",5,367,4.2,9.8,46,46,23,1661.902513749
"104","B2",5,355,5.5,11.4,57,48,26.25,2164.75368786422
"105","B2",6,260,2.5,8.3,18,16,8.5,226.980069221863
"106","B2",6,252,2.2,6.1,26,20,11.5,415.47562843725
"107","B2",6,261,2.7,9.8,24,23,11.75,433.736135736241
"108","B2",6,262,3,8,31,25,14,615.752160103599
"109","B2",6,253,2.5,5.6,30,26,14,615.752160103599
"110","B2",6,242,3,7.2,28,27,13.75,593.95736106932
"111","B2",6,245,4,9.4,33,27,15,706.858347057703
"112","B2",6,247,3.2,8.4,33,30,15.75,779.311327631118
"113","B2",6,249,5.3,10.6,33,30,15.75,779.311327631118
"114","B2",6,250,4.3,8.1,41,31,18,1017.87601976309
"115","B2",6,256,3.5,6.1,37,32,17.25,934.820163983813
"116","B2",6,263,5.7,11.8,44,33,19.25,1164.15642769587
"117","B2",6,251,3.3,9.2,36,34,17.5,962.112750161874
"118","B2",6,258,3,9.2,36,35,17.75,989.798035421634
"119","B2",6,241,4.5,9.2,41,35,19,1134.11494794592
"120","B2",6,259,5.5,8.1,45,35,20,1256.63706143592
"121","B2",6,248,3.3,9.9,45,35,20,1256.63706143592
"122","B2",6,254,4.3,11.3,42,36,19.5,1194.59060652752
"123","B2",6,243,6.5,8.7,46,36,20.5,1320.25431267111
"124","B2",6,246,5.7,10.7,42,37,19.75,1225.41748444087
"125","B2",6,257,3.2,12.1,39,38,19.25,1164.15642769587
"126","B2",6,244,4.2,8.5,41,40,20.25,1288.24933751266
"127","B2",6,255,4.5,10.5,41,40,20.25,1288.24933751266
"128","B2",6,240,6.5,9.7,54,51,26.25,2164.75368786422
"129","B2",7,291,3,5.7,20,17,9.25,268.802521422777
"130","B2",7,296,4.3,8.7,33,30,15.75,779.311327631118
"131","B2",7,295,3.5,7.2,34,30,16,804.247719318987
"132","B2",7,298,3.5,8.6,36,30,16.5,855.298599939821
"133","B2",7,283,3.5,8.1,40,30,17.5,962.112750161874
"134","B2",7,286,2,9,47,30,19.25,1164.15642769587
"135","B2",7,290,4.5,9.5,46,32,19.5,1194.59060652752
"136","B2",7,289,3.5,10.8,39,33,18,1017.87601976309
"137","B2",7,292,4,11.4,42,34,19,1134.11494794592
