Bloque,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
B2T1,236,2.7,7.7,21,15.5
B2T1,224,5,12.5,24,17
B2T1,220,1.7,10.2,26,25
B2T1,231,3.7,7.2,38,25
B2T1,221,4,10.5,40,30
B2T1,222,4.5,10.2,41,33
B2T1,223,3.5,10.6,41,35
B2T1,234,8.5,10.2,53,36
B2T1,226,5.2,11.8,43,37
B2T1,239,9.5,10.6,46,37
B2T1,228,4.5,13.4,49,37
B2T1,219,5.3,11.9,55,37
B2T1,232,5.5,10,41,40
B2T1,237,6,11.1,48,40
B2T1,225,6.5,13.6,4.5,42
B2T1,238,5.5,13.2,47,42
B2T1,229,6.5,11.1,56,43
B2T1,235,6.3,10.7,51,45
B2T1,227,3.7,11.1,55,46
B2T1,230,7.5,12,63,49
B2T1,233,5,11.5,51,50
B2T2,315,4.5,6.1,28,17
B2T2,307,3.2,5.8,25,23
B2T2,318,3,13.6,30,30
B2T2,311,4.5,10.7,40,31
B2T2,314,3.5,9.6,49,33
B2T2,321,4,10.8,49,33
B2T2,300,4.2,10.7,43,36
B2T2,316,4.5,9.8,50,36
B2T2,309,6.5,11.4,40,38
B2T2,305,7.3,10.7,40,39
B2T2,303,3,13.5,40,39
B2T2,310,6.7,11.3,41,39
B2T2,317,5,10.4,40,40
B2T2,301,5,7.8,44,41
B2T2,306,6,12.3,52,41
B2T2,312,7,15.3,46,42
B2T2,308,4.5,9.5,43,43
B2T2,304,5,13.6,50,49
B2T2,302,6,10,53,51
B2T2,313,6.3,13.4,55,54
B2T2,320,9.3,15.2,65,60
B2T2,319,8.2,11.5,57,63
B2T3,277,2,2,4,3
B2T3,266,2.2,2.8,12.3,11
B2T3,274,2,3.5,17,15
B2T3,278,3,4.3,21,19
B2T3,279,2,4.2,22,19
B2T3,270,2.5,5,24,20
B2T3,268,2.5,5.9,32,23
B2T3,272,2.5,7.8,26,24
B2T3,273,2,7,26,25
B2T3,267,2.5,6.5,30,26
B2T3,264,3,5.3,32,28
B2T3,265,3.5,5.9,31,30
B2T3,276,4,8.5,39,32
B2T3,271,2.5,7.6,36,33
B2T3,275,3.5,8.6,36,35.5
B2T3,269,NA,NA,NA,NA
B2T4,342,3.5,5.7,27,23
B2T4,323,3,7,30,23
B2T4,326,2.5,11.2,42,24
B2T4,327,3.5,9.1,28,27
B2T4,322,2,9.5,35,27
B2T4,328,3.5,8.5,31,29
B2T4,341,4,7.8,32,30
B2T4,337,3.5,10.5,39,32
B2T4,338,3.5,9.1,34,33
B2T4,339,3.7,10.6,34,33
B2T4,344,5,9.2,35,34
B2T4,334,4,12.1,39,34
B2T4,325,5.5,11.2,49,34
B2T4,340,4,9.5,43,37
B2T4,330,5,11.2,48,37
B2T4,335,4,9.9,40,39
B2T4,331,4.5,10,43,39
B2T4,332,5,8.1,41,40
B2T4,324,5,11.2,48,40
B2T4,336,4.5,10.1,51,40
B2T4,333,8,11.1,54,44
B2T4,329,3.7,10.6,53,50
B2T4,343,4,12.1,54,50
B2T5,349,4.5,6,31,25
B2T5,363,4,10.1,29,27
B2T5,361,4.5,10.5,38,27
B2T5,366,4.5,11.2,40,29
B2T5,346,2.7,8.5,40,30
B2T5,347,4.5,9.6,43,30
B2T5,368,4.5,12.1,45,30
B2T5,357,3,11.3,32,31
B2T5,345,3.7,11.3,37,33
B2T5,348,4.5,12,45,36
B2T5,356,5.3,11.5,45,37
B2T5,362,3.5,11.5,46,37
B2T5,353,6,13.2,59,37
B2T5,351,5,10.9,42,39
B2T5,352,4.5,10,42,40
B2T5,359,3.5,10.6,43,41
B2T5,350,5.5,11.1,51,42
B2T5,358,7.5,13,48,43
B2T5,354,4.5,11.4,53,43
B2T5,360,5.5,10.6,57,43
B2T5,364,5,11.1,47,45
B2T5,367,4.2,9.8,46,46
B2T5,355,5.5,11.4,57,48
B2T5,365,NA,NA,NA,NA
B2T6,260,2.5,8.3,18,16
B2T6,252,2.2,6.1,26,20
B2T6,261,2.7,9.8,24,23
B2T6,262,3,8,31,25
B2T6,253,2.5,5.6,30,26
B2T6,242,3,7.2,28,27
B2T6,245,4,9.4,33,27
B2T6,252,4.3,NA,31,30
B2T6,247,3.2,8.4,33,30
B2T6,249,5.3,10.6,33,30
B2T6,250,4.3,8.1,41,31
B2T6,256,3.5,6.1,37,32
B2T6,263,5.7,11.8,44,33
B2T6,251,3.3,9.2,36,34
B2T6,258,3,9.2,36,35
B2T6,241,4.5,9.2,41,35
B2T6,259,5.5,8.1,45,35
B2T6,248,3.3,9.9,45,35
B2T6,254,4.3,11.3,42,36
B2T6,243,6.5,8.7,46,36
B2T6,246,5.7,10.7,42,37
B2T6,257,3.2,12.1,39,38
B2T6,244,4.2,8.5,41,40
B2T6,255,4.5,10.5,41,40
B2T6,240,6.5,9.7,54,51
B2T7,291,3,5.7,20,17
B2T7,296,4.3,8.7,33,30
B2T7,295,3.5,7.2,34,30
B2T7,298,3.5,8.6,36,30
B2T7,283,3.5,8.1,40,30
B2T7,286,2,9,47,30
B2T7,290,4.5,9.5,46,32
B2T7,289,3.5,10.8,39,33
B2T7,292,4,11.4,42,34
B2T7,280,5,11.9,45,34
B2T7,282,3,10.8,40,35
B2T7,299,4.5,9.2,43,37
B2T7,281,5,12.9,49,37
B2T7,297,4.5,11.9,42,39
B2T7,293,5,11.9,43,41
B2T7,284,2.5,12.6,53,41
B2T7,288,5,8.2,48,43
B2T7,299,5,11.4,47,44
B2T7,285,6,13.8,56,48
B2T7,287,6.5,10.2,52,49
B3T1,456,2.7,7.9,27,25
B3T1,445,6.5,8.9,36,25
B3T1,447,5.5,8.7,36,30
B3T1,463,3.2,10.6,44,33
B3T1,453,3.5,11.4,45,35
B3T1,446,5.5,9.8,38,36
B3T1,455,7.5,10.4,49,37
,,,,,
B3T1,454,6,11.4,47,38
B3T1,458,5.3,13.3,44,40
B3T1,449,3,10.4,46,40
B3T1,452,7,12.5,53,40
B3T1,461,4,10.1,42,41
B3T1,459,6.5,10.8,45,42
B3T1,448,5.5,9,53,42
B3T1,457,4.5,11.6,51,44
B3T1,451,5.5,11,61,44
B3T1,462,5.5,12.5,46,45
B3T1,460,8,10,51,46
B3T1,464,6.5,13.1,64,50
B3T1,915,7,11.3,55,53
B3T1,450,5.5,11.1,60,55
B3T2,498,2.5,5.9,25,23
B3T2,488,8,13.8,46,37
B3T2,487,7,13.4,47,40
B3T2,494,7.3,13.2,48,42
B3T2,499,8.5,14.6,50,45
B3T2,504,6.5,15.5,50,46
B3T2,503,6.2,15.4,55,48
B3T2,950,5.3,11.2,59,48
B3T2,500,7.5,12.2,49,49
B3T2,492,7.5,14.5,53,49
B3T2,495,5.3,10.6,58,49
B3T2,491,4.7,11.7,64,49
B3T2,496,6,12.3,68,49
B3T2,493,7.5,16.9,59,50
B3T2,497,7,12.7,56,53
B3T2,489,7,10.8,56,54
B3T2,505,6.5,12.3,66,54
B3T2,502,10,14.4,67,55
B3T2,501,8.5,17.3,57,56
B3T2,490,9.7,16.3,68,57
B3T2,506,7.5,12.1,77,60
B3T3,397,2,4.6,14,13
B3T3,396,3.5,5,22,15
B3T3,391,1.5,4.2,17.5,16.5
B3T3,395,3,4.8,18,18
B3T3,398,4,5.7,21.5,21
B3T3,394,2.2,3.6,26,24
B3T3,387,4,5.5,38.5,26
B3T3,386,3.7,6.8,39,28
B3T3,389,2.5,6.1,29,29
B3T3,390,3.5,6.8,37,31
B3T3,393,4.5,8.5,45,34
B3T3,388,3.5,6.8,42,36
B3T3,392,5,8.3,41,38
B3T3,384,5,10,40,39
B3T3,385,3.5,7,46,42
B3T4,481,5,9.2,36,28
B3T4,473,7.5,11.2,54,33
B3T4,476,6.2,13,43,40
B3T4,474,6,12.7,48,40
B3T4,484,6.5,13,60,40
B3T4,471,1,12.5,43,42
B3T4,469,9.5,13.4,50,42
B3T4,468,5,11.3,54,42
B3T4,467,6.5,10.8,45,43
B3T4,478,4,9.9,47,43
B3T4,475,4.5,10.8,50,43
B3T4,482,7,11.7,48,45
B3T4,465,4.3,8,55,45
B3T4,466,6.5,12.3,51,47
B3T4,477,7,12.1,52,47
B3T4,472,9,14.6,50,48
B3T4,479,7,9.1,60,49
B3T4,470,9,14.4,62,49
B3T4,486,7,11.7,66,51
B3T4,483,5.5,14.2,53,52
B3T4,480,6.5,12.8,60,53
B3T4,485,7.5,11.4,66,54
B3T5,403,4.5,10.7,41,33
B3T5,420,5.9,13.2,53,36
B3T5,415,7.3,13.4,47,39
B3T5,399,8,13.1,55.5,41
B3T5,406,7.5,10.5,49,43
B3T5,400,8.5,12,57,43
B3T5,416,9,12,56,43.5
B3T5,405,4.5,10,47,45
B3T5,418,5.5,12.9,57,45
B3T5,417,7,12.9,58,45
B3T5,419,8,12.5,47,46
B3T5,414,9,11.9,48,46
B3T5,402,10,13.5,60,47
B3T5,404,9,14.5,52,49
B3T5,410,10,14.5,68,50
B3T5,411,9.5,11.7,53,51
B3T5,409,8,17.2,54,54
B3T5,407,7.2,12.4,55,54
B3T5,408,6,13.3,59,57
B3T5,412,9,13.5,59,57
B3T5,413,8,14.7,66,57
B3T5,401,6.6,11.3,68,58
B3T6,429,5.7,10.6,35.5,25.5
B3T6,421,5.2,11.1,32.5,29
B3T6,434,4,10.4,35,32
B3T6,426,5,8.6,35,32
B3T6,441,5.7,9.7,38,33
B3T6,444,5.5,10.1,46,33
B3T6,427,3,10.9,37,34
B3T6,428,7,13.6,39,34
B3T6,439,5.5,10.2,41,34
B3T6,435,5,10,42,34
B3T6,432,4,9.3,40,35.5
B3T6,433,5,10.8,46,36
B3T6,442,5.2,10.6,51,36
B3T6,443,6.5,9.7,43,37
B3T6,425,7.3,9.5,45,39
B3T6,424,6,10.8,47,39
B3T6,422,3,9.1,44,42
B3T6,430,6.5,8.3,45,42
B3T6,431,5,13,48,44
B3T6,436,6.3,12.3,48,47
B3T6,440,6.3,9.8,52,48
B3T6,433,7,10.9,60,50
B3T6,437,7,10.9,60,50
B3T6,423,6.3,10.9,52,51
B3T7,383,6.5,11.6,34,33
B3T7,382,7,13,49,33
B3T7,370,4,9.2,39,35
B3T7,371,4.5,11.9,45,37
B3T7,374,8.2,12,52,39
B3T7,379,7.5,13.5,47,40
B3T7,381,5.5,13,50,40
B3T7,375,7.3,12.8,54,48
B3T7,376,6,10.5,54,49
B3T7,372,7,11.5,57,49
B3T7,380,7.3,9.8,52,51
B3T7,373,8,13.3,71,52
B3T7,377,6.5,13.2,56,54.5
B3T7,378,8.3,13.4,58,55
B3T7,369,7.5,12.1,65,59
B4T1,644,2,5.5,22,21
B4T1,642,5,5.8,26,22
B4T1,636,3.5,8.4,30,25
B4T1,640,3,8.3,31,25
B4T1,645,2,6.8,33,25
B4T1,637,3,5.4,30,27
B4T1,633,2,8.4,31,27
B4T1,643,3.5,6.8,30,29
B4T1,646,4.5,6.9,34,30
B4T1,634,4,12.3,36,30
B4T1,635,3.5,7.7,38,30
B4T1,638,4.5,6.5,34,33
B4T1,636,5,9,34,33
B4T1,641,4,11.7,34,33
B4T1,647,4.5,10.5,42,34
B4T1,639,4.5,10,36,35
B4T1,648,3.5,9.5,49,45
B4T2,557,8.5,12.1,38,30
B4T2,562,4.5,12.2,37,32
B4T2,564,3,11.1,37,33
B4T2,558,6.5,13,40,33
B4T2,554,4,10,37,34
B4T2,550,3.5,8.9,43,34
B4T2,548,11.4,8.6,40,38
B4T2,559,5.5,8.5,43,38
B4T2,555,5.3,11.2,42,39
B4T2,563,6,12.1,50,39
B4T2,551,6.5,13.6,43,40
B4T2,553,3,13.7,47,40
B4T2,556,6.5,11.5,44,42
B4T2,547,6.5,11.7,48,44
B4T2,546,5.5,12.3,50,48
B4T2,561,7.5,13,57,49
B4T2,552,5,12.1,59,57
B4T2,549,7.5,15.6,60,58
B4T2,560,10,11.8,102,67
B4T3,629,2,5.7,19,18
B4T3,628,3.5,7.4,28,19
B4T3,624,3.5,5.9,39,20
B4T3,623,3.5,8.9,33,23
B4T3,621,5,6.5,26,24
B4T3,631,3.5,6.6,30,24
B4T3,632,3,6.1,28,25
B4T3,622,3.5,7.8,36,26
B4T3,614,3.3,6.9,31,27
B4T3,611,3,6.3,39,27
B4T3,610,3.5,5.7,36,28
B4T3,625,4.5,9,41,30
B4T3,612,2,7.9,35,32
B4T3,627,5.5,7.9,34,33
B4T3,618,4,8.5,35,34
B4T3,619,3.5,8,40,34
B4T3,626,4,7.1,36,35
B4T3,615,4.5,8.2,37,35
B4T3,630,4.5,5.9,38,37
B4T3,616,5.3,9.7,38,37
B4T3,613,6.5,7.6,40,39
B4T3,620,4.7,7.6,42,40
B4T3,617,3.5,10.7,47,40
B4T4,587,3,9.7,34,29
B4T4,601,4.3,10,35,30
B4T4,607,3.5,9.1,44,33
B4T4,598,5,10.4,35,34
B4T4,594,6.5,11.7,47,34
B4T4,592,3.5,11.2,38,35
B4T4,590,5.5,11.8,38,37
B4T4,603,5.5,11.2,51,37
B4T4,605,4.5,12.4,40,39
B4T4,597,3.5,7.7,42,39
B4T4,591,5,9.9,45,40
B4T4,599,4.3,11.1,47,42
B4T4,593,5,11,45,43
B4T4,589,6.5,11.8,49,43
B4T4,600,2.5,11.5,52,43
B4T4,588,4,12,55,43
B4T4,604,7,15.2,59,44
B4T4,596,6,9.4,47,45
