,Bloque.1,Bloque.2,Individuo,DiamTallo,AlturaTallo,CobVeg_anc,CobVeg_lar
522,B5,5,669,13.2,6.5,57,44
521,B5,5,670,13.5,8,54,44
514,B5,5,671,8.8,6.5,44,32
516,B5,5,672,11,6,50,36
519,B5,5,673,10.5,5,44,43
525,B5,5,674,14.2,9,62,47
515,B5,5,675,11.7,4.5,39,34
518,B5,5,676,10.1,3,47,39
520,B5,5,677,10.3,4,47,43
526,B5,5,678,13.2,5,50,49
527,B5,5,679,11.2,8,59,49
523,B5,5,680,12,7.5,60,44
524,B5,5,681,10.4,5,48,47
517,B5,5,682,12.4,3,64,36
528,B5,5,683,14.7,4,53,52
512,B5,5,684,9.7,2.5,41,25
513,B5,5,685,10.6,4.2,41,26
510,B5,5,686,4.8,2.5,10,7
453,B5,1,687,7.7,3,35,33
442,B5,1,688,7.4,3,25,19
457,B5,1,689,7.8,4,45,43
455,B5,1,690,10.9,5.5,52,36
460,B5,1,690,10.8,5.6,52,51
447,B5,1,691,8.3,3.5,40,29
448,B5,1,692,8.1,4,38,30
439,B5,1,693,5,2,14,13
441,B5,1,694,9.9,2.5,19,18
456,B5,1,695,10.8,3,40,37
450,B5,1,696,7,4.5,43,30
458,B5,1,697,11.1,5.5,50,49
461,B5,1,698,13.3,5.5,57,52
451,B5,1,699,10.2,4.5,32,31
440,B5,1,700,3.9,2.5,18,15
459,B5,1,701,11.5,5,52,50
454,B5,1,702,8.9,4.5,40,34
444,B5,1,703,5.3,2,30,25
445,B5,1,704,9.3,3.3,30,28
452,B5,1,705,8.7,2,35,32
449,B5,1,706,9.8,3.5,41,30
446,B5,1,707,8.2,2.5,32,29
443,B5,1,708,7.7,2.5,27,22
438,B5,1,709,2.7,1.2,7,10
465,B5,3,710,3.4,1.5,11,6
486,B5,3,711,5.9,2,29,28
480,B5,3,712,8.3,4.5,27,23
467,B5,3,713,4.2,1,11,10
469,B5,3,714,4,2,16,11
485,B5,3,715,5.5,2.5,29,28
466,B5,3,716,4.3,1,10,9
474,B5,3,717,7.4,1,27,17
472,B5,3,718,4.1,1.5,20,15
477,B5,3,719,5.5,3,25,21
484,B5,3,720,6.1,4,37,27
481,B5,3,721,6,3,30,24
470,B5,3,722,2.7,2.7,16,12
478,B5,3,723,5.5,3,25,21
468,B5,3,724,6.8,1,12,10
475,B5,3,725,4.1,3,21,19
487,B5,3,726,5.7,3.3,33,32
482,B5,3,727,4.8,3.3,26,25
471,B5,3,728,2.7,1,15,13
476,B5,3,729,7.1,1.5,27,20
483,B5,3,730,7.2,3.7,30,25
473,B5,3,731,3.8,3.2,17,16
479,B5,3,732,5.3,2.7,24,22
462,B5,2,733,3.1,1.5,13,13
564,B5,7,734,9.9,4,34,36
559,B5,7,735,10.4,5,42,31
555,B5,7,737,9.5,3.7,30,28
561,B5,7,738,6.6,4.3,34,33
548,B5,7,739,4.8,1,10,10
558,B5,7,740,9.8,4,35,30
574,B5,7,741,13.8,7,65,58
463,B5,2,742,5.7,2,32,20
572,B5,7,743,9.5,5.5,50,49
550,B5,7,744,5,2.5,20,17
464,B5,2,745,5.5,3.7,30,26
560,B5,7,746,9.5,5,43,32
565,B5,7,747,8.9,3.5,49,40
557,B5,7,748,6.9,3,32,30
562,B5,7,749,8.2,4,36,34
554,B5,7,750,8.6,2.5,28,27
571,B5,7,751,11.1,5,60,48
570,B5,7,752,9.5,4,60,47
563,B5,7,753,8.4,4.5,45,35
568,B5,7,754,13.7,6,47,43
549,B5,7,755,1.8,1,14,12
573,B5,7,756,13.7,7.3,55,50
567,B5,7,757,8.5,3.5,49,42
553,B5,7,758,7.1,3.5,48,25
569,B5,7,759,8.5,6,48,46
551,B5,7,760,5.3,3,23,22
556,B5,7,761,6.2,1.5,33,29
566,B5,7,762,8.3,4,44,41
552,B5,7,763,4.9,2.5,24,23
506,B5,4,764,8.9,3.5,45,43
508,B5,4,765,10.6,4.3,49,46
507,B5,4,766,7.9,3.5,48,43
501,B5,4,767,9.5,3,48,39
494,B5,4,768,9.2,3.5,34.5,33
505,B5,4,769,9.1,3.5,45,42
498,B5,4,770,7.6,4.5,36,35
492,B5,4,771,6.9,3.5,33,32
502,B5,4,772,8,5,42,40
499,B5,4,773,7.5,4.5,42,35
496,B5,4,774,8.5,4.5,43,33
503,B5,4,775,9.5,9.8,48.5,40
495,B5,4,776,8.6,3.5,39,33
489,B5,4,777,9,3,31,28
509,B5,4,778,10.7,4.2,47.5,47
500,B5,4,779,9.2,4.7,37,36.5
497,B5,4,780,8.9,4.5,46,34
493,B5,4,781,6.8,4.7,39,32.5
491,B5,4,782,8.8,3,32,30
504,B5,4,783,7.6,5.6,49,41
490,B5,4,784,7.5,3.2,31,30
488,B5,4,785,8.8,3.5,35,20
172,B3,1,915,11.3,7,55,53
181,B3,2,950,11.2,5.3,59,48
