,Bloque.1,Bloque.2,Individuo,DiamTallo,AlturaTallo,CobVeg_anc,CobVeg_lar
12,B2,1,219,11.9,5.3,55,37
3,B2,1,220,10.2,1.7,26,25
5,B2,1,221,10.5,4,40,30
6,B2,1,222,10.2,4.5,41,33
7,B2,1,223,10.6,3.5,41,35
2,B2,1,224,12.5,5,24,17
15,B2,1,225,13.6,6.5,4.5,42
9,B2,1,226,11.8,5.2,43,37
19,B2,1,227,11.1,3.7,55,46
11,B2,1,228,13.4,4.5,49,37
17,B2,1,229,11.1,6.5,56,43
20,B2,1,230,12,7.5,63,49
4,B2,1,231,7.2,3.7,38,25
13,B2,1,232,10,5.5,41,40
21,B2,1,233,11.5,5,51,50
8,B2,1,234,10.2,8.5,53,36
18,B2,1,235,10.7,6.3,51,45
1,B2,1,236,7.7,2.7,21,15.5
14,B2,1,237,11.1,6,48,40
16,B2,1,238,13.2,5.5,47,42
10,B2,1,239,10.6,9.5,46,37
131,B2,6,240,9.7,6.5,54,51
122,B2,6,241,9.2,4.5,41,35
112,B2,6,242,7.2,3,28,27
126,B2,6,243,8.7,6.5,46,36
129,B2,6,244,8.5,4.2,41,40
113,B2,6,245,9.4,4,33,27
127,B2,6,246,10.7,5.7,42,37
115,B2,6,247,8.4,3.2,33,30
124,B2,6,248,9.9,3.3,45,35
116,B2,6,249,10.6,5.3,33,30
117,B2,6,250,8.1,4.3,41,31
120,B2,6,251,9.2,3.3,36,34
108,B2,6,252,6.1,2.2,26,20
111,B2,6,253,5.6,2.5,30,26
125,B2,6,254,11.3,4.3,42,36
130,B2,6,255,10.5,4.5,41,40
118,B2,6,256,6.1,3.5,37,32
128,B2,6,257,12.1,3.2,39,38
121,B2,6,258,9.2,3,36,35
123,B2,6,259,8.1,5.5,45,35
107,B2,6,260,8.3,2.5,18,16
109,B2,6,261,9.8,2.7,24,23
110,B2,6,262,8,3,31,25
119,B2,6,263,11.8,5.7,44,33
54,B2,3,264,5.3,3,32,28
55,B2,3,265,5.9,3.5,31,30
45,B2,3,266,2.8,2.2,12.3,11
53,B2,3,267,6.5,2.5,30,26
50,B2,3,268,5.9,2.5,32,23
49,B2,3,270,5,2.5,24,20
57,B2,3,271,7.6,2.5,36,33
51,B2,3,272,7.8,2.5,26,24
52,B2,3,273,7,2,26,25
46,B2,3,274,3.5,2,17,15
58,B2,3,275,8.6,3.5,36,35.5
56,B2,3,276,8.5,4,39,32
44,B2,3,277,2,2,4,3
47,B2,3,278,4.3,3,21,19
48,B2,3,279,4.2,2,22,19
141,B2,7,280,11.9,5,45,34
144,B2,7,281,12.9,5,49,37
142,B2,7,282,10.8,3,40,35
136,B2,7,283,8.1,3.5,40,30
147,B2,7,284,12.6,2.5,53,41
150,B2,7,285,13.8,6,56,48
137,B2,7,286,9,2,47,30
151,B2,7,287,10.2,6.5,52,49
148,B2,7,288,8.2,5,48,43
139,B2,7,289,10.8,3.5,39,33
138,B2,7,290,9.5,4.5,46,32
132,B2,7,291,5.7,3,20,17
140,B2,7,292,11.4,4,42,34
146,B2,7,293,11.9,5,43,41
134,B2,7,295,7.2,3.5,34,30
133,B2,7,296,8.7,4.3,33,30
145,B2,7,297,11.9,4.5,42,39
135,B2,7,298,8.6,3.5,36,30
143,B2,7,299,9.2,4.5,43,37
149,B2,7,299,11.4,5,47,44
28,B2,2,300,10.7,4.2,43,36
35,B2,2,301,7.8,5,44,41
40,B2,2,302,10,6,53,51
32,B2,2,303,13.5,3,40,39
39,B2,2,304,13.6,5,50,49
31,B2,2,305,10.7,7.3,40,39
36,B2,2,306,12.3,6,52,41
23,B2,2,307,5.8,3.2,25,23
38,B2,2,308,9.5,4.5,43,43
30,B2,2,309,11.4,6.5,40,38
33,B2,2,310,11.3,6.7,41,39
25,B2,2,311,10.7,4.5,40,31
37,B2,2,312,15.3,7,46,42
41,B2,2,313,13.4,6.3,55,54
26,B2,2,314,9.6,3.5,49,33
22,B2,2,315,6.1,4.5,28,17
29,B2,2,316,9.8,4.5,50,36
34,B2,2,317,10.4,5,40,40
24,B2,2,318,13.6,3,30,30
43,B2,2,319,11.5,8.2,57,63
42,B2,2,320,15.2,9.3,65,60
27,B2,2,321,10.8,4,49,33
64,B2,4,322,9.5,2,35,27
61,B2,4,323,7,3,30,23
78,B2,4,324,11.2,5,48,40
72,B2,4,325,11.2,5.5,49,34
62,B2,4,326,11.2,2.5,42,24
63,B2,4,327,9.1,3.5,28,27
65,B2,4,328,8.5,3.5,31,29
81,B2,4,329,10.6,3.7,53,50
74,B2,4,330,11.2,5,48,37
76,B2,4,331,10,4.5,43,39
77,B2,4,332,8.1,5,41,40
80,B2,4,333,11.1,8,54,44
71,B2,4,334,12.1,4,39,34
75,B2,4,335,9.9,4,40,39
79,B2,4,336,10.1,4.5,51,40
67,B2,4,337,10.5,3.5,39,32
68,B2,4,338,9.1,3.5,34,33
69,B2,4,339,10.6,3.7,34,33
73,B2,4,340,9.5,4,43,37
66,B2,4,341,7.8,4,32,30
60,B2,4,342,5.7,3.5,27,23
82,B2,4,343,12.1,4,54,50
70,B2,4,344,9.2,5,35,34
91,B2,5,345,11.3,3.7,37,33
87,B2,5,346,8.5,2.7,40,30
88,B2,5,347,9.6,4.5,43,30
92,B2,5,348,12,4.5,45,36
83,B2,5,349,6,4.5,31,25
99,B2,5,350,11.1,5.5,51,42
96,B2,5,351,10.9,5,42,39
97,B2,5,352,10,4.5,42,40
95,B2,5,353,13.2,6,59,37
101,B2,5,354,11.4,4.5,53,43
105,B2,5,355,11.4,5.5,57,48
93,B2,5,356,11.5,5.3,45,37
90,B2,5,357,11.3,3,32,31
100,B2,5,358,13,7.5,48,43
98,B2,5,359,10.6,3.5,43,41
102,B2,5,360,10.6,5.5,57,43
85,B2,5,361,10.5,4.5,38,27
94,B2,5,362,11.5,3.5,46,37
84,B2,5,363,10.1,4,29,27
103,B2,5,364,11.1,5,47,45
86,B2,5,366,11.2,4.5,40,29
104,B2,5,367,9.8,4.2,46,46
89,B2,5,368,12.1,4.5,45,30
292,B3,7,369,12.1,7.5,65,59
280,B3,7,370,9.2,4,39,35
281,B3,7,371,11.9,4.5,45,37
287,B3,7,372,11.5,7,57,49
289,B3,7,373,13.3,8,71,52
282,B3,7,374,12,8.2,52,39
285,B3,7,375,12.8,7.3,54,48
286,B3,7,376,10.5,6,54,49
290,B3,7,377,13.2,6.5,56,54.5
291,B3,7,378,13.4,8.3,58,55
283,B3,7,379,13.5,7.5,47,40
288,B3,7,380,9.8,7.3,52,51
284,B3,7,381,13,5.5,50,40
279,B3,7,382,13,7,49,33
278,B3,7,383,11.6,6.5,34,33
208,B3,3,384,10,5,40,39
209,B3,3,385,7,3.5,46,42
202,B3,3,386,6.8,3.7,39,28
201,B3,3,387,5.5,4,38.5,26
206,B3,3,388,6.8,3.5,42,36
203,B3,3,389,6.1,2.5,29,29
204,B3,3,390,6.8,3.5,37,31
197,B3,3,391,4.2,1.5,17.5,16.5
207,B3,3,392,8.3,5,41,38
205,B3,3,393,8.5,4.5,45,34
200,B3,3,394,3.6,2.2,26,24
198,B3,3,395,4.8,3,18,18
196,B3,3,396,5,3.5,22,15
195,B3,3,397,4.6,2,14,13
199,B3,3,398,5.7,4,21.5,21
235,B3,5,399,13.1,8,55.5,41
237,B3,5,400,12,8.5,57,43
253,B3,5,401,11.3,6.6,68,58
244,B3,5,402,13.5,10,60,47
232,B3,5,403,10.7,4.5,41,33
245,B3,5,404,14.5,9,52,49
239,B3,5,405,10,4.5,47,45
236,B3,5,406,10.5,7.5,49,43
249,B3,5,407,12.4,7.2,55,54
250,B3,5,408,13.3,6,59,57
248,B3,5,409,17.2,8,54,54
246,B3,5,410,14.5,10,68,50
247,B3,5,411,11.7,9.5,53,51
251,B3,5,412,13.5,9,59,57
252,B3,5,413,14.7,8,66,57
243,B3,5,414,11.9,9,48,46
234,B3,5,415,13.4,7.3,47,39
238,B3,5,416,12,9,56,43.5
241,B3,5,417,12.9,7,58,45
240,B3,5,418,12.9,5.5,57,45
242,B3,5,419,12.5,8,47,46
233,B3,5,420,13.2,5.9,53,36
255,B3,6,421,11.1,5.2,32.5,29
270,B3,6,422,9.1,3,44,42
277,B3,6,423,10.9,6.3,52,51
269,B3,6,424,10.8,6,47,39
268,B3,6,425,9.5,7.3,45,39
257,B3,6,426,8.6,5,35,32
260,B3,6,427,10.9,3,37,34
261,B3,6,428,13.6,7,39,34
254,B3,6,429,10.6,5.7,35.5,25.5
271,B3,6,430,8.3,6.5,45,42
272,B3,6,431,13,5,48,44
264,B3,6,432,9.3,4,40,35.5
265,B3,6,433,10.8,5,46,36
275,B3,6,433,10.9,7,60,50
256,B3,6,434,10.4,4,35,32
263,B3,6,435,10,5,42,34
273,B3,6,436,12.3,6.3,48,47
276,B3,6,437,10.9,7,60,50
262,B3,6,439,10.2,5.5,41,34
274,B3,6,440,9.8,6.3,52,48
258,B3,6,441,9.7,5.7,38,33
266,B3,6,442,10.6,5.2,51,36
267,B3,6,443,9.7,6.5,43,37
259,B3,6,444,10.1,5.5,46,33
153,B3,1,445,8.9,6.5,36,25
157,B3,1,446,9.8,5.5,38,36
154,B3,1,447,8.7,5.5,36,30
166,B3,1,448,9,5.5,53,42
162,B3,1,449,10.4,3,46,40
173,B3,1,450,11.1,5.5,60,55
168,B3,1,451,11,5.5,61,44
163,B3,1,452,12.5,7,53,40
156,B3,1,453,11.4,3.5,45,35
160,B3,1,454,11.4,6,47,38
158,B3,1,455,10.4,7.5,49,37
152,B3,1,456,7.9,2.7,27,25
167,B3,1,457,11.6,4.5,51,44
161,B3,1,458,13.3,5.3,44,40
165,B3,1,459,10.8,6.5,45,42
170,B3,1,460,10,8,51,46
164,B3,1,461,10.1,4,42,41
169,B3,1,462,12.5,5.5,46,45
155,B3,1,463,10.6,3.2,44,33
171,B3,1,464,13.1,6.5,64,50
222,B3,4,465,8,4.3,55,45
223,B3,4,466,12.3,6.5,51,47
218,B3,4,467,10.8,6.5,45,43
217,B3,4,468,11.3,5,54,42
216,B3,4,469,13.4,9.5,50,42
227,B3,4,470,14.4,9,62,49
215,B3,4,471,12.5,1,43,42
225,B3,4,472,14.6,9,50,48
211,B3,4,473,11.2,7.5,54,33
213,B3,4,474,12.7,6,48,40
220,B3,4,475,10.8,4.5,50,43
212,B3,4,476,13,6.2,43,40
224,B3,4,477,12.1,7,52,47
219,B3,4,478,9.9,4,47,43
226,B3,4,479,9.1,7,60,49
230,B3,4,480,12.8,6.5,60,53
210,B3,4,481,9.2,5,36,28
221,B3,4,482,11.7,7,48,45
229,B3,4,483,14.2,5.5,53,52
214,B3,4,484,13,6.5,60,40
231,B3,4,485,11.4,7.5,66,54
228,B3,4,486,11.7,7,66,51
176,B3,2,487,13.4,7,47,40
175,B3,2,488,13.8,8,46,37
189,B3,2,489,10.8,7,56,54
193,B3,2,490,16.3,9.7,68,57
185,B3,2,491,11.7,4.7,64,49
183,B3,2,492,14.5,7.5,53,49
187,B3,2,493,16.9,7.5,59,50
177,B3,2,494,13.2,7.3,48,42
184,B3,2,495,10.6,5.3,58,49
186,B3,2,496,12.3,6,68,49
188,B3,2,497,12.7,7,56,53
174,B3,2,498,5.9,2.5,25,23
178,B3,2,499,14.6,8.5,50,45
182,B3,2,500,12.2,7.5,49,49
192,B3,2,501,17.3,8.5,57,56
191,B3,2,502,14.4,10,67,55
180,B3,2,503,15.4,6.2,55,48
179,B3,2,504,15.5,6.5,50,46
190,B3,2,505,12.3,6.5,66,54
194,B3,2,506,12.1,7.5,77,60
429,B4,7,507,13.6,7,58,42
428,B4,7,508,10.5,4,53,42
437,B4,7,509,9.1,7,62,63
436,B4,7,510,12,2.5,78,59
435,B4,7,511,10.7,8.7,72,56
427,B4,7,512,11.2,5.5,44,42
433,B4,7,513,11.2,3.5,62,54
431,B4,7,514,11.2,8.5,49,47
420,B4,7,515,7.5,3,30,30
423,B4,7,516,8.9,4,47,33
426,B4,7,517,10.9,5.5,42,38
425,B4,7,518,10,5,45,35
434,B4,7,519,10.6,6,60,55
424,B4,7,520,9.3,2.5,37,35
422,B4,7,521,9.6,4.5,36,33
421,B4,7,522,7,3.5,34,33
430,B4,7,523,9.9,5,64,46
432,B4,7,524,9.4,6.5,50,47
419,B4,7,525,7.7,3.5,29,28
416,B4,7,526,9.7,3.5,18,14
418,B4,7,527,6.3,4,30,24
410,B4,6,528,11.9,7.5,81,51
406,B4,6,529,13.2,6,57,49
414,B4,6,530,13,9.5,67,63
405,B4,6,531,12.7,6.5,62,48
403,B4,6,532,11.3,8,65,43
408,B4,6,533,16.1,7,66,50
409,B4,6,534,15.5,10,69,50
404,B4,6,535,10.6,4,53,47
398,B4,6,536,10.2,3,48,39
399,B4,6,537,13.2,6.5,38,42
411,B4,6,538,15,5.7,77,54
401,B4,6,539,12,6,52,42
400,B4,6,540,11.3,5,45,42
407,B4,6,541,14,6.5,52,50
397,B4,6,542,10.8,5.5,40,38
412,B4,6,543,12.7,8,66,58
402,B4,6,544,13.1,7.5,59,43
413,B4,6,545,13.1,6.5,69,62
324,B4,2,546,12.3,5.5,50,48
323,B4,2,547,11.7,6.5,48,44
316,B4,2,548,8.6,11.4,40,38
327,B4,2,549,15.6,7.5,60,58
315,B4,2,550,8.9,3.5,43,34
320,B4,2,551,13.6,6.5,43,40
326,B4,2,552,12.1,5,59,57
321,B4,2,553,13.7,3,47,40
314,B4,2,554,10,4,37,34
318,B4,2,555,11.2,5.3,42,39
322,B4,2,556,11.5,6.5,44,42
310,B4,2,557,12.1,8.5,38,30
313,B4,2,558,13,6.5,40,33
317,B4,2,559,8.5,5.5,43,38
328,B4,2,560,11.8,10,102,67
325,B4,2,561,13,7.5,57,49
311,B4,2,562,12.2,4.5,37,32
319,B4,2,563,12.1,6,50,39
312,B4,2,564,11.1,3,37,33
383,B4,5,565,11.6,8,49,41
384,B4,5,566,8.8,6,45,42
394,B4,5,567,10.6,7.7,59,53
378,B4,5,568,7.2,5,40,37
391,B4,5,569,10.7,6.5,47,47
393,B4,5,570,12.5,7,52,50
376,B4,5,571,9.1,5.5,44,36
396,B4,5,572,13.8,7.5,62,59
379,B4,5,573,12.2,4,40,37
385,B4,5,574,11.6,7.5,50,42
382,B4,5,576,9.5,4.5,43,40
387,B4,5,577,11.7,5,48,43
390,B4,5,578,11.3,8,49,45
392,B4,5,579,13.3,5,49,47
375,B4,5,581,12.3,6,37,28
380,B4,5,583,9.5,6.5,40,39
388,B4,5,584,10.8,6.7,50,43
386,B4,5,585,11.1,6.5,56,42
395,B4,5,586,11.9,8.5,60,56
352,B4,4,587,9.7,3,34,29
367,B4,4,588,12,4,55,43
365,B4,4,589,11.8,6.5,49,43
358,B4,4,590,11.8,5.5,38,37
362,B4,4,591,9.9,5,45,40
357,B4,4,592,11.2,3.5,38,35
364,B4,4,593,11,5,45,43
356,B4,4,594,11.7,6.5,47,34
372,B4,4,595,10.9,4.5,52,48
369,B4,4,596,9.4,6,47,45
361,B4,4,597,7.7,3.5,42,39
355,B4,4,598,10.4,5,35,34
363,B4,4,599,11.1,4.3,47,42
366,B4,4,600,11.5,2.5,52,43
353,B4,4,601,10,4.3,35,30
373,B4,4,602,12,7.5,53,49
359,B4,4,603,11.2,5.5,51,37
368,B4,4,604,15.2,7,59,44
360,B4,4,605,12.4,4.5,40,39
374,B4,4,606,11.7,7.5,57,55
354,B4,4,607,9.1,3.5,44,33
370,B4,4,608,8.4,5.5,43,47
371,B4,4,609,11.3,7,49,47
339,B4,3,610,5.7,3.5,36,28
338,B4,3,611,6.3,3,39,27
341,B4,3,612,7.9,2,35,32
349,B4,3,613,7.6,6.5,40,39
337,B4,3,614,6.9,3.3,31,27
346,B4,3,615,8.2,4.5,37,35
348,B4,3,616,9.7,5.3,38,37
351,B4,3,617,10.7,3.5,47,40
343,B4,3,618,8.5,4,35,34
344,B4,3,619,8,3.5,40,34
350,B4,3,620,7.6,4.7,42,40
333,B4,3,621,6.5,5,26,24
336,B4,3,622,7.8,3.5,36,26
332,B4,3,623,8.9,3.5,33,23
331,B4,3,624,5.9,3.5,39,20
340,B4,3,625,9,4.5,41,30
345,B4,3,626,7.1,4,36,35
342,B4,3,627,7.9,5.5,34,33
330,B4,3,628,7.4,3.5,28,19
329,B4,3,629,5.7,2,19,18
347,B4,3,630,5.9,4.5,38,37
334,B4,3,631,6.6,3.5,30,24
335,B4,3,632,6.1,3,28,25
299,B4,1,633,8.4,2,31,27
302,B4,1,634,12.3,4,36,30
303,B4,1,635,7.7,3.5,38,30
295,B4,1,636,8.4,3.5,30,25
305,B4,1,636,9,5,34,33
298,B4,1,637,5.4,3,30,27
304,B4,1,638,6.5,4.5,34,33
308,B4,1,639,10,4.5,36,35
296,B4,1,640,8.3,3,31,25
306,B4,1,641,11.7,4,34,33
294,B4,1,642,5.8,5,26,22
300,B4,1,643,6.8,3.5,30,29
293,B4,1,644,5.5,2,22,21
297,B4,1,645,6.8,2,33,25
301,B4,1,646,6.9,4.5,34,30
307,B4,1,647,10.5,4.5,42,34
309,B4,1,648,9.5,3.5,49,45
543,B5,6,649,9.9,6.5,44,44
541,B5,6,650,10.9,6.5,54,40
533,B5,6,651,12.4,4,42,32
537,B5,6,652,10,4.5,44,37
532,B5,6,653,8.3,4,37,30
536,B5,6,654,8.2,2.5,39,37
534,B5,6,655,10,4.5,44,34
530,B5,6,656,5.1,1.7,18,18
542,B5,6,657,11.3,4,44,43
531,B5,6,658,9.3,4.5,30,29
547,B5,6,659,10.6,4.5,57,53
544,B5,6,660,11.3,7.5,54,44
539,B5,6,661,10.6,4,41,40
546,B5,6,662,16.4,7.3,66,47
545,B5,6,663,13,5.5,70,46
540,B5,6,664,9.7,6,42,40
538,B5,6,665,10.3,4.5,46,37
535,B5,6,666,17.3,7.5,43,36
529,B5,5,667,12,8,68,61
511,B5,5,668,6.5,3,27,24
