"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob","Yesenia","Victor"
"66","B2",4,324,2.5,9.4,32,23,13.75,593.95736106932,593.95736106932,2312.21219304209
"67","B2",4,334,3,11.8,32,24,14,615.752160103599,615.752160103599,2412.74315795696
"68","B2",4,331,3,9,38,24,15.5,754.767635024948,754.767635024948,2865.13250007389
"69","B2",4,341,3,6,28,25,13.25,551.545860245858,551.545860245858,2199.11485751285
"70","B2",4,339,4,9.7,36,25,15.25,730.616641500476,730.616641500476,2827.43338823081
"71","B2",4,344,3.5,7.7,32,26,14.5,660.519855417254,660.519855417254,2613.80508778671
"72","B2",4,322,2,9,28,27,13.75,593.95736106932,593.95736106932,2375.04404611388
"73","B2",4,329,3.3,10.7,34,28,15.5,754.767635024948,754.767635024948,2990.79620621748
"74","B2",4,326,4.2,9.2,42,28,17.5,962.112750161874,962.112750161874,3694.5129606216
"75","B2",4,335,3.2,8.8,36,29,16.25,829.576810088555,829.576810088555,3279.82273034774
"76","B2",4,330,3.5,4.9,31.5,31,15.625,766.990393942821,766.990393942821,3067.76522623043
"77","B2",4,325,3.8,10.6,33.5,31,16.125,816.863177318559,816.863177318559,3262.543970753
"78","B2",4,333,4,11.8,36,33,17.25,934.820163983813,934.820163983813,3732.21207246467
"79","B2",4,336,3.5,8.3,36,34,17.5,962.112750161874,962.112750161874,3845.30940799391
"80","B2",4,343,4,11.4,36,36,18,1017.87601976309,1017.87601976309,4071.50407905237
"81","B2",5,365,1,7.7,11,4,3.75,44.1786466911065,44.1786466911065,138.230076757951
"82","B2",5,349,3.5,5.5,27,13,10,314.159265358979,314.159265358979,1102.69902141002
"83","B2",5,364,3.2,9.2,31,19,12.5,490.873852123405,490.873852123405,1850.39807296439
"84","B2",5,363,3.2,9.2,31,19,12.5,490.873852123405,490.873852123405,1850.39807296439
"85","B2",5,352,4,9.4,27,20,11.75,433.736135736241,433.736135736241,1696.46003293849
"86","B2",5,346,2.7,7.3,28,22,12.5,490.873852123405,490.873852123405,1935.22107461131
"87","B2",5,357,3,9.5,36,22,14.5,660.519855417254,660.519855417254,2488.14138164312
"88","B2",5,361,3,11.1,38,22,15,706.858347057703,706.858347057703,2626.37145840107
"89","B2",5,345,3,8.4,31,23,13.5,572.55526111674,572.55526111674,2239.95556200952
"90","B2",5,366,3.2,7.6,26.5,25,12.875,520.768069717721,520.768069717721,2081.30513300324
"91","B2",5,347,4.2,9.1,32,26,14.5,660.519855417254,660.519855417254,2613.80508778671
"92","B2",5,359,3.8,9.5,33,27,15,706.858347057703,706.858347057703,2799.15905434851
"93","B2",5,351,3.5,10.3,30,28,14.5,660.519855417254,660.519855417254,2638.93782901543
"94","B2",5,353,4,9.4,32,29,15.25,730.616641500476,730.616641500476,2915.39798253133
"95","B2",5,368,4,9.8,32,30,15.5,754.767635024948,754.767635024948,3015.9289474462
"96","B2",5,348,2.7,9.2,33,30,15.75,779.311327631118,779.311327631118,3110.1767270539
"97","B2",5,367,3,9,34,30,16,804.247719318987,804.247719318987,3204.42450666159
"98","B2",5,362,3.5,11.5,34,32,16.5,855.298599939821,855.298599939821,3418.0528071057
"99","B2",5,354,3.3,10.6,37,33,17.5,962.112750161874,962.112750161874,3835.88463003314
"100","B2",5,350,3.8,9.8,30,34,16,804.247719318987,804.247719318987,3204.42450666159
"101","B2",5,360,3.5,9.6,34,34,17,907.92027688745,907.92027688745,3631.6811075498
"102","B2",5,355,4.5,10.2,40,34,18.5,1075.21008569111,1075.21008569111,4272.56600888212
"103","B2",5,356,4.5,11.5,24,36,15,706.858347057703,706.858347057703,2714.33605270158
"104","B2",5,358,4.5,11.5,40,38,19.5,1194.59060652752,1194.59060652752,4775.22083345649
"105","B2",6,262,3.3,8.3,21,10,7.75,188.691908756237,188.691908756237,659.734457253857
"106","B2",6,253,1.5,5.6,18,12,7.5,176.714586764426,176.714586764426,678.584013175395
"107","B2",6,252,1.7,7.2,21,13.5,8.625,233.705040995953,233.705040995953,890.641517292706
"108","B2",6,245,4,9.4,22,17,9.75,298.64765163188,298.64765163188,1174.95565244258
"109","B2",6,260,2,9,24,17,10.25,330.063578167778,330.063578167778,1281.76980266464
"110","B2",6,261,3.8,9.4,24,19,10.75,363.05030103047,363.05030103047,1432.56625003695
"111","B2",6,258,3.5,7.9,25,19,11,380.132711084365,380.132711084365,1492.25651045515
"112","B2",6,242,2.2,5.3,13.5,19.5,8.25,213.824649984955,213.824649984955,827.024266057513
"113","B2",6,244,2.3,8.8,24.5,20,11.125,388.821178266949,388.821178266949,1539.380400259
"114","B2",6,247,2.8,8.3,24,22,11.5,415.47562843725,415.47562843725,1658.76092109541
"115","B2",6,257,3,8.8,24,23,11.75,433.736135736241,433.736135736241,1734.15914478157
"116","B2",6,256,2.8,6.9,25,23,12,452.38934211693,452.38934211693,1806.41577581413
"117","B2",6,255,3.5,9.3,25,23,12,452.38934211693,452.38934211693,1806.41577581413
"118","B2",6,254,3,11.3,30,23.5,13.375,562.001473296087,562.001473296087,2214.8228207808
"119","B2",6,246,3.8,8.6,24,24,12,452.38934211693,452.38934211693,1809.55736846772
"120","B2",6,248,3,7.8,32,24,14,615.752160103599,615.752160103599,2412.74315795696
"121","B2",6,263,4,11.7,25,25,12.5,490.873852123405,490.873852123405,1963.49540849362
"122","B2",6,241,3,9.3,39,25,16,804.247719318987,804.247719318987,3063.05283725005
"123","B2",6,249,4.2,11.2,35,27,15.5,754.767635024948,754.767635024948,2968.80505764235
"124","B2",6,243,3.8,7.3,33,29,15.5,754.767635024948,754.767635024948,3006.50416948543
"125","B2",6,240,3.7,9.5,30,30,15,706.858347057703,706.858347057703,2827.43338823081
"126","B2",6,251,3,9.4,23,32,13.75,593.95736106932,593.95736106932,2312.21219304209
"127","B2",6,259,3.3,8.5,33,34,16.75,881.413088872786,881.413088872786,3524.86695732775
"128","B2",7,291,2.5,5.4,25,14,9.75,298.64765163188,298.64765163188,1099.55742875643
"129","B2",7,289,2.8,11.1,30,21,12.75,510.705155749191,510.705155749191,1979.20337176157
"130","B2",7,283,3.5,7.6,31,21,13,530.929158456675,530.929158456675,2045.17681748696
"131","B2",7,290,3.4,8.3,23.5,22,11.375,406.492636943392,406.492636943392,1624.20340190592
"132","B2",7,295,4,8.1,29,22,12.75,510.705155749191,510.705155749191,2004.33611299029
"133","B2",7,298,3,9.1,33.5,22,13.875,604.805673201247,604.805673201247,2315.35378569568
"134","B2",7,281,3.2,12.9,27,27,13.5,572.55526111674,572.55526111674,2290.22104446696
"135","B2",7,286,3,7.6,31,27,14.5,660.519855417254,660.519855417254,2629.51305105466
"136","B2",7,288,4.2,9.3,35,28,15.75,779.311327631118,779.311327631118,3078.760800518
"137","B2",7,285,4.3,12.6,36,30,16.5,855.298599939821,855.298599939821,3392.92006587698
"138","B2",7,293,4.2,12.9,43,31,18.5,1075.21008569111,1075.21008569111,4187.74300723519
"139","B2",7,297,3.3,11.9,34,32,16.5,855.298599939821,855.298599939821,3418.0528071057
"140","B2",7,282,3.5,10.8,36,32,17,907.92027688745,907.92027688745,3619.11473693544
"141","B2",7,296,3.7,8.7,38,32,17.5,962.112750161874,962.112750161874,3820.17666676519
"142","B2",7,299,4,10.2,35,33,17,907.92027688745,907.92027688745,3628.53951489621
"143","B2",7,284,5.2,11.1,36,33,17.25,934.820163983813,934.820163983813,3732.21207246467
"144","B2",7,294,4.2,12,38,37,18.75,1104.46616727766,1104.46616727766,4417.07927094725
"145","B2",7,287,4.8,9.7,41,37,19.5,1194.59060652752,1194.59060652752,4765.79605549572
"146","B2",7,292,4.2,10.7,42,42,21,1385.4423602331,1385.4423602331,5541.76944093239
"147","B2",7,280,4.5,11.4,45,42,21.75,1486.16967468882,1486.16967468882,5937.61011528471
"148","B3",1,461,3,6.8,24,18,10.5,346.360590058275,346.360590058275,1357.16802635079
