"","Individuo","Bloque.x","Tratamiento.x","AlturaTallo.x","DiamTallo.x","CobVeg_anc.x","CobVeg_lar.x","Rad.prom.x","Area.cob.x","Bloque.y","Tratamiento.y","AlturaTallo.y","DiamTallo.y","CobVeg_anc.y","CobVeg_lar.y","Rad.prom.y","Area.cob.y","dif.tallo","dif.alt","dif.cob"
"40",259,"B2",6,3.3,8.5,33,34,16.75,881.413088872786,"B2",6,5.5,8.1,45,35,20,1256.63706143592,0,2.2,375.223972563131
"41",260,"B2",6,2,9,24,17,10.25,330.063578167778,"B2",6,2.5,8.3,18,16,8.5,226.980069221863,0,0.5,0
"42",261,"B2",6,3.8,9.4,24,19,10.75,363.05030103047,"B2",6,2.7,9.8,24,23,11.75,433.736135736241,0.4,0,70.6858347057704
"43",262,"B2",6,3.3,8.3,21,10,7.75,188.691908756237,"B2",6,3,8,31,25,14,615.752160103599,0,0,427.060251347362
"44",263,"B2",6,4,11.7,25,25,12.5,490.873852123405,"B2",6,5.7,11.8,44,33,19.25,1164.15642769587,0.100000000000001,1.7,673.282575572463
"45",264,"B2",3,1.5,5.5,18,12,7.5,176.714586764426,"B2",3,3,5.3,32,28,15,706.858347057703,0,1.5,530.143760293278
"46",265,"B2",3,2,5.8,26,23,12.25,471.435247579318,"B2",3,3.5,5.9,31,30,15.25,730.616641500476,0.100000000000001,1.5,259.181393921158
"47",266,"B2",3,1.3,2.3,8.5,5.5,3.5,38.484510006475,"B2",3,2.2,2.8,12.3,11,5.825,106.59620223171,0.5,0.9,68.1116922252352
"48",267,"B2",3,1.5,6,28,20,12,452.38934211693,"B2",3,2.5,6.5,30,26,14,615.752160103599,0.5,1,163.362817986669
"49",268,"B2",3,2.5,4.1,18,12,7.5,176.714586764426,"B2",3,2.5,5.9,32,23,13.75,593.95736106932,1.8,0,417.242774304894
"50",270,"B2",3,2.3,3.6,16.5,11,6.875,148.48934026733,"B2",3,2.5,5,24,20,11,380.132711084365,1.4,0.2,231.643370817035
"51",271,"B2",3,2.5,6.1,28,21,12.25,471.435247579318,"B2",3,2.5,7.6,36,33,17.25,934.820163983813,1.5,0,463.384916404494
