"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob"
"1","B2",1,236,2,6,19,8,6.75,143.138815279185
"2","B2",1,231,3,6.7,20,17,9.25,268.802521422777
"3","B2",1,220,2.5,8.1,21,20,10.25,330.063578167778
"4","B2",1,224,3,9.7,24,21,11.25,397.607820219958
"5","B2",1,227,2.8,8,29,21,12.5,490.873852123405
"6","B2",1,223,2.5,9.5,31,21.5,13.125,541.188421966054
"7","B2",1,229,4,9.5,24,22.5,11.625,424.556794701533
"8","B2",1,219,3,8.2,25,23,12,452.38934211693
"9","B2",1,232,2.5,10,27,23,12.5,490.873852123405
"10","B2",1,235,3.5,8.6,36,24,15,706.858347057703
"11","B2",1,221,3.7,9.1,35,27,15.5,754.767635024948
"12","B2",1,228,3,4.1,31,28,14.75,683.492751696629
"13","B2",1,233,3.5,10.7,33,28,15.25,730.616641500476
"14","B2",1,257,4,9.9,36,30,16.5,855.298599939821
"15","B2",1,234,4.2,10.7,31.5,31,15.625,766.990393942821
"16","B2",1,238,3.8,10.6,37,31,17,907.92027688745
"17","B2",1,239,3.3,10.9,32,31.5,15.875,791.73043608984
"18","B2",1,222,3.7,8.6,33,32,16.25,829.576810088555
"19","B2",1,230,4,12.2,40,35,18.75,1104.46616727766
"20","B2",1,225,3.5,10,38,36,18.5,1075.21008569111
"21","B2",1,226,3.2,10.1,38,36,18.5,1075.21008569111
"22","B2",2,307,2.8,4.8,16,12,7,153.9380400259
"23","B2",2,314,4.3,10.1,32,17,12.25,471.435247579318
"24","B2",2,300,3,8.6,24,19,10.75,363.05030103047
"25","B2",2,301,3.3,7.8,22,21,10.75,363.05030103047
"26","B2",2,315,3,6.9,20,25,11.25,397.607820219958
"27","B2",2,316,3.7,10.2,38,26,16,804.247719318987
"28","B2",2,305,4.3,10.6,31,29,15,706.858347057703
"29","B2",2,321,4.3,10.5,34,29,15.75,779.311327631118
"30","B2",2,317,4,10.2,17,30,11.75,433.736135736241
"31","B2",2,303,3.2,10.7,31,30,15.25,730.616641500476
"32","B2",2,304,5,12.7,41,30,17.75,989.798035421634
"33","B2",2,310,4.2,9.8,42,30,18,1017.87601976309
"34","B2",2,319,4.5,11.6,44,30,18.5,1075.21008569111
"35","B2",2,309,4.3,10.3,37,31,17,907.92027688745
"36","B2",2,308,3.7,10.2,33,32,16.25,829.576810088555
"37","B2",2,311,4,10.2,33,32,16.25,829.576810088555
"38","B2",2,318,3.7,12.5,34,34,17,907.92027688745
"39","B2",2,302,3.5,10.3,39,34.5,18.375,1060.72930705347
"40","B2",2,306,3.5,12,41,37,19.5,1194.59060652752
"41","B2",2,312,5.3,14.6,39,39,19.5,1194.59060652752
"42","B2",2,320,7,12.8,46,43,22.25,1555.2847130678
"43","B2",2,313,5.8,13.8,49,47,24,1809.55736846772
"44","B2",3,277,1,2.5,5,3,2,12.5663706143592
"45","B2",3,266,1.3,2.3,8.5,5.5,3.5,38.484510006475
"46","B2",3,274,1,2.7,10,8,4.5,63.6172512351933
"47","B2",3,270,2.3,3.6,16.5,11,6.875,148.48934026733
"48","B2",3,268,2.5,4.1,18,12,7.5,176.714586764426
"49","B2",3,264,1.5,5.5,18,12,7.5,176.714586764426
"50","B2",3,273,2.2,5.7,13,13,6.5,132.732289614169
"51","B2",3,278,2.2,4.8,17.5,13,7.625,182.654160375119
"52","B2",3,279,2,3.7,19,13.7,8.175,209.954600534814
"53","B2",3,272,2,3.7,15,15,7.5,176.714586764426
"54","B2",3,275,3.2,6.3,23,16,9.75,298.64765163188
"55","B2",3,267,1.5,6,28,20,12,452.38934211693
"56","B2",3,271,2.5,6.1,28,21,12.25,471.435247579318
"57","B2",3,265,2,5.8,26,23,12.25,471.435247579318
"58","B2",4,342,4.9,3.5,19.5,14.5,8.5,226.980069221863
"59","B2",4,340,3.3,7.5,32,16.5,12.125,461.863207462912
"60","B2",4,327,1.7,7.6,18,17.5,8.875,247.449508855409
"61","B2",4,328,2.7,9.6,25,18,10.75,363.05030103047
"62","B2",4,323,2.5,6.3,25,19,11,380.132711084365
"63","B2",4,338,2.3,9.1,22,21,10.75,363.05030103047
"64","B2",4,337,3.2,9.7,36,21,14.25,637.939658219577
"65","B2",4,332,3,7.9,25,22,11.75,433.736135736241
"66","B2",4,324,2.5,9.4,32,23,13.75,593.95736106932
"67","B2",4,334,3,11.8,32,24,14,615.752160103599
"68","B2",4,331,3,9,38,24,15.5,754.767635024948
"69","B2",4,341,3,6,28,25,13.25,551.545860245858
"70","B2",4,339,4,9.7,36,25,15.25,730.616641500476
"71","B2",4,344,3.5,7.7,32,26,14.5,660.519855417254
"72","B2",4,322,2,9,28,27,13.75,593.95736106932
"73","B2",4,329,3.3,10.7,34,28,15.5,754.767635024948
"74","B2",4,326,4.2,9.2,42,28,17.5,962.112750161874
"75","B2",4,335,3.2,8.8,36,29,16.25,829.576810088555
"76","B2",4,330,3.5,4.9,31.5,31,15.625,766.990393942821
"77","B2",4,325,3.8,10.6,33.5,31,16.125,816.863177318559
"78","B2",4,333,4,11.8,36,33,17.25,934.820163983813
"79","B2",4,336,3.5,8.3,36,34,17.5,962.112750161874
"80","B2",4,343,4,11.4,36,36,18,1017.87601976309
"81","B2",5,365,1,7.7,11,4,3.75,44.1786466911065
"82","B2",5,349,3.5,5.5,27,13,10,314.159265358979
"83","B2",5,364,3.2,9.2,31,19,12.5,490.873852123405
"84","B2",5,363,3.2,9.2,31,19,12.5,490.873852123405
"85","B2",5,352,4,9.4,27,20,11.75,433.736135736241
"86","B2",5,346,2.7,7.3,28,22,12.5,490.873852123405
"87","B2",5,357,3,9.5,36,22,14.5,660.519855417254
"88","B2",5,361,3,11.1,38,22,15,706.858347057703
"89","B2",5,345,3,8.4,31,23,13.5,572.55526111674
"90","B2",5,366,3.2,7.6,26.5,25,12.875,520.768069717721
"91","B2",5,347,4.2,9.1,32,26,14.5,660.519855417254
"92","B2",5,359,3.8,9.5,33,27,15,706.858347057703
"93","B2",5,351,3.5,10.3,30,28,14.5,660.519855417254
"94","B2",5,353,4,9.4,32,29,15.25,730.616641500476
"95","B2",5,368,4,9.8,32,30,15.5,754.767635024948
"96","B2",5,348,2.7,9.2,33,30,15.75,779.311327631118
"97","B2",5,367,3,9,34,30,16,804.247719318987
"98","B2",5,362,3.5,11.5,34,32,16.5,855.298599939821
"99","B2",5,354,3.3,10.6,37,33,17.5,962.112750161874
"100","B2",5,350,3.8,9.8,30,34,16,804.247719318987
"101","B2",5,360,3.5,9.6,34,34,17,907.92027688745
"102","B2",5,355,4.5,10.2,40,34,18.5,1075.21008569111
"103","B2",5,356,4.5,11.5,24,36,15,706.858347057703
"104","B2",5,358,4.5,11.5,40,38,19.5,1194.59060652752
"105","B2",6,262,3.3,8.3,21,10,7.75,188.691908756237
"106","B2",6,253,1.5,5.6,18,12,7.5,176.714586764426
"107","B2",6,252,1.7,7.2,21,13.5,8.625,233.705040995953
"108","B2",6,245,4,9.4,22,17,9.75,298.64765163188
"109","B2",6,260,2,9,24,17,10.25,330.063578167778
"110","B2",6,261,3.8,9.4,24,19,10.75,363.05030103047
"111","B2",6,258,3.5,7.9,25,19,11,380.132711084365
"112","B2",6,242,2.2,5.3,13.5,19.5,8.25,213.824649984955
"113","B2",6,244,2.3,8.8,24.5,20,11.125,388.821178266949
"114","B2",6,247,2.8,8.3,24,22,11.5,415.47562843725
"115","B2",6,257,3,8.8,24,23,11.75,433.736135736241
"116","B2",6,256,2.8,6.9,25,23,12,452.38934211693
"117","B2",6,255,3.5,9.3,25,23,12,452.38934211693
"118","B2",6,254,3,11.3,30,23.5,13.375,562.001473296087
"119","B2",6,246,3.8,8.6,24,24,12,452.38934211693
"120","B2",6,248,3,7.8,32,24,14,615.752160103599
"121","B2",6,263,4,11.7,25,25,12.5,490.873852123405
"122","B2",6,241,3,9.3,39,25,16,804.247719318987
"123","B2",6,249,4.2,11.2,35,27,15.5,754.767635024948
"124","B2",6,243,3.8,7.3,33,29,15.5,754.767635024948
"125","B2",6,240,3.7,9.5,30,30,15,706.858347057703
"126","B2",6,251,3,9.4,23,32,13.75,593.95736106932
"127","B2",6,259,3.3,8.5,33,34,16.75,881.413088872786
"128","B2",7,291,2.5,5.4,25,14,9.75,298.64765163188
"129","B2",7,289,2.8,11.1,30,21,12.75,510.705155749191
"130","B2",7,283,3.5,7.6,31,21,13,530.929158456675
"131","B2",7,290,3.4,8.3,23.5,22,11.375,406.492636943392
"132","B2",7,295,4,8.1,29,22,12.75,510.705155749191
"133","B2",7,298,3,9.1,33.5,22,13.875,604.805673201247
"134","B2",7,281,3.2,12.9,27,27,13.5,572.55526111674
"135","B2",7,286,3,7.6,31,27,14.5,660.519855417254
"136","B2",7,288,4.2,9.3,35,28,15.75,779.311327631118
"137","B2",7,285,4.3,12.6,36,30,16.5,855.298599939821
"138","B2",7,293,4.2,12.9,43,31,18.5,1075.21008569111
"139","B2",7,297,3.3,11.9,34,32,16.5,855.298599939821
"140","B2",7,282,3.5,10.8,36,32,17,907.92027688745
"141","B2",7,296,3.7,8.7,38,32,17.5,962.112750161874
"142","B2",7,299,4,10.2,35,33,17,907.92027688745
"143","B2",7,284,5.2,11.1,36,33,17.25,934.820163983813
"144","B2",7,294,4.2,12,38,37,18.75,1104.46616727766
"145","B2",7,287,4.8,9.7,41,37,19.5,1194.59060652752
"146","B2",7,292,4.2,10.7,42,42,21,1385.4423602331
"147","B2",7,280,4.5,11.4,45,42,21.75,1486.16967468882
"148","B3",1,461,3,6.8,24,18,10.5,346.360590058275
"149","B3",1,445,4.2,7.9,33,19,13,530.929158456675
"150","B3",1,466,3.3,8,27,22,12.25,471.435247579318
"151","B3",1,456,2.5,7.7,23,23,11.5,415.47562843725
"152","B3",1,449,2.5,8.8,32,23,13.75,593.95736106932
"153","B3",1,452,3.5,11.1,32,23,13.75,593.95736106932
"154","B3",1,447,3.7,9.6,25,24,12.25,471.435247579318
"155","B3",1,463,3.5,11.7,33,28,15.25,730.616641500476
"156","B3",1,455,4.5,11.4,36,29,16.25,829.576810088555
"157","B3",1,454,4.5,11.4,36,29,16.25,829.576810088555
"158","B3",1,462,3.8,11.8,32,30,15.5,754.767635024948
"159","B3",1,459,4,10.8,33,30,15.75,779.311327631118
"160","B3",1,448,3.5,8.5,31,31,15.5,754.767635024948
"161","B3",1,464,2.5,10.2,33,31,16,804.247719318987
"162","B3",1,451,4.5,10.1,35,32,16.75,881.413088872786
"163","B3",1,453,2.8,11,35,33,17,907.92027688745
"164","B3",1,460,4.5,11.2,46,33,19.75,1225.41748444087
"165","B3",1,457,4.5,12.6,36,34,17.5,962.112750161874
"166","B3",1,450,5,12.2,43,42,21.25,1418.62543263664
"167","B3",1,450,4.5,10.3,47,42,22.25,1555.2847130678
"168","B3",1,950,4,11.7,32,45,19.25,1164.15642769587
"169","B3",2,498,2.5,5.3,19,10,7.25,165.129963854314
"170","B3",2,487,4.8,12,38,21,14.75,683.492751696629
"171","B3",2,489,3.5,9.5,33,22,13.75,593.95736106932
"172","B3",2,494,3.5,9.8,33,24.5,14.375,649.180669433203
"173","B3",2,492,5,12.1,35,26,15.25,730.616641500476
"174","B3",2,503,3,11.2,39,28,16.75,881.413088872786
"175","B3",2,493,4,12.6,39,29,17,907.92027688745
"176","B3",2,497,4.2,11.4,42,29,17.75,989.798035421634
"177","B3",2,496,4.5,11.6,33,31,16,804.247719318987
"178","B3",2,490,4.7,13.9,36,31,16.75,881.413088872786
"179","B3",2,501,4,17.3,34,32,16.5,855.298599939821
"180","B3",2,502,4.5,14.4,47,32,19.75,1225.41748444087
"181","B3",2,506,4.5,11.1,40,33,18.25,1046.34670318625
"182","B3",2,505,3,12.4,38,34,18,1017.87601976309
"183","B3",2,500,3.5,12.2,36,35,17.75,989.798035421634
"184","B3",2,488,5.5,14.8,28,36,16,804.247719318987
"185","B3",2,915,3.3,12.2,19,39,14.5,660.519855417254
"186","B3",2,504,3.3,8.1,44,39,20.75,1352.65198691126
"187","B3",2,499,6.5,13.3,50,42,23,1661.902513749
"188","B3",3,394,2,3.2,15,7.5,5.625,99.4019550549895
"189","B3",3,397,1,3,12.5,8,5.125,82.5158945419444
"190","B3",3,398,2.3,5.2,17.5,11.5,7.25,165.129963854314
"191","B3",3,391,1,3.8,14,12,6.5,132.732289614169
"192","B3",3,396,1.8,5.1,17,15.5,8.125,207.394202522139
"193","B3",3,387,4,4.9,21,18,9.75,298.64765163188
"194","B3",3,395,2.5,5.2,12.5,19,7.875,194.82783190778
"195","B3",3,390,1.8,5.4,24.5,19,10.875,371.542418672205
"196","B3",3,388,3,7.4,22,21,10.75,363.05030103047
"197","B3",3,386,4.3,5.3,20,22,10.5,346.360590058275
"198","B3",3,389,2,7,24,23,11.75,433.736135736241
"199","B3",3,392,3.2,7.3,31,23,13.5,572.55526111674
"200","B3",3,393,2.5,6.7,25,24,12.25,471.435247579318
"201","B3",3,385,3.5,7.1,32,25,14.25,637.939658219577
"202","B3",3,384,4,10.3,32,29,15.25,730.616641500476
"203","B3",4,466,3.8,11.1,20,18,9.5,283.528736986479
"204","B3",4,481,2.5,7.6,19,19,9.5,283.528736986479
"205","B3",4,471,3.2,11.1,34,25,14.75,683.492751696629
"206","B3",4,466,4.2,10.7,43,25,17,907.92027688745
"207","B3",4,468,3,9.8,39,26,16.25,829.576810088555
"208","B3",4,467,4,11.2,31,27,14.5,660.519855417254
"209","B3",4,470,5.5,14.1,41,28,17.25,934.820163983813
"210","B3",4,483,3.7,10.9,31,31,15.5,754.767635024948
"211","B3",4,474,4.7,11.9,33,31,16,804.247719318987
"212","B3",4,486,4.3,10.5,35,31,16.5,855.298599939821
"213","B3",4,475,4.5,9.5,37,31,17,907.92027688745
"214","B3",4,478,3,9.8,37,31,17,907.92027688745
"215","B3",4,472,3.8,14.6,40,31,17.75,989.798035421634
"216","B3",4,465,4.5,7,35,32,16.75,881.413088872786
"217","B3",4,469,5.5,11.8,36,32,17,907.92027688745
"218","B3",4,473,3.7,10.7,36.5,33,17.375,948.417369687631
"219","B3",4,470,4.5,14,37,34,17.75,989.798035421634
"220","B3",4,479,4.5,9.7,38,35,18.25,1046.34670318625
"221","B3",4,476,3.3,9.6,36,36,18,1017.87601976309
"222","B3",4,482,4,11.7,38,37,18.75,1104.46616727766
"223","B3",4,480,4,13.3,44,38,20.5,1320.25431267111
"224","B3",4,484,4.5,13,39,40,19.75,1225.41748444087
"225","B3",4,485,4.5,10,39.5,41,20.125,1272.39411208908
"226","B3",4,477,4,12.1,41,41,20.5,1320.25431267111
"227","B3",5,405,4,9.7,34,18,13,530.929158456675
"228","B3",5,403,3.5,10.7,21,21,10.5,346.360590058275
"229","B3",5,415,4.8,10.2,30,23,13.25,551.545860245858
"230","B3",5,401,4.3,11.2,41,27,17,907.92027688745
"231","B3",5,399,4,13.1,38,28,16.5,855.298599939821
"232","B3",5,406,4,10.4,32,29,15.25,730.616641500476
"233","B3",5,419,4,12.3,38,31,17.25,934.820163983813
"234","B3",5,420,4.2,10.9,42,32,18.5,1075.21008569111
"235","B3",5,407,5,10.7,43,32,18.75,1104.46616727766
"236","B3",5,416,4.5,11.1,36,34,17.5,962.112750161874
"237","B3",5,404,4.5,13.6,43,35,19.5,1194.59060652752
"238","B3",5,411,4.3,11.3,40,36,19,1134.11494794592
"239","B3",5,402,4.7,11.7,41,37,19.5,1194.59060652752
"240","B3",5,414,4.3,11.9,38,38,19,1134.11494794592
"241","B3",5,418,3.3,12.4,39,38,19.25,1164.15642769587
"242","B3",5,400,4.5,11.3,42,38,20,1256.63706143592
"243","B3",5,417,4.5,12.3,39,39,19.5,1194.59060652752
"244","B3",5,409,4.2,15.1,40,39,19.75,1225.41748444087
"245","B3",5,408,4.5,14,40,40,20,1256.63706143592
"246","B3",5,410,4.2,14.4,48,41,22.25,1555.2847130678
"247","B3",5,413,4.7,14.7,48,41,22.25,1555.2847130678
"248","B3",5,412,4,13.4,44,42,21.5,1452.20120412188
"249","B3",6,432,3,9.3,24,16,10,314.159265358979
"250","B3",6,439,4,9.8,23,17,10,314.159265358979
"251","B3",6,429,3,9.7,27,17,11,380.132711084365
"252","B3",6,434,4,10.4,33,19,13,530.929158456675
"253","B3",6,421,4,9.2,23,20,10.75,363.05030103047
"254","B3",6,442,4.2,10.7,28,21,12.25,471.435247579318
"255","B3",6,427,3,10.3,27,22,12.25,471.435247579318
"256","B3",6,423,2.5,9.7,28,22,12.5,490.873852123405
"257","B3",6,430,4.2,8.6,29,22,12.75,510.705155749191
"258","B3",6,426,3.7,8,30,22,13,530.929158456675
"259","B3",6,433,3,9.2,27,23,12.5,490.873852123405
"260","B3",6,441,3.7,9.8,28,23,12.75,510.705155749191
"261","B3",6,425,4.7,10.1,28,23,12.75,510.705155749191
"262","B3",6,427,4,9.5,38,23,15.25,730.616641500476
"263","B3",6,444,4.3,10.5,26,24,12.5,490.873852123405
"264","B3",6,422,3,10.2,32,25,14.25,637.939658219577
"265","B3",6,436,4.2,12.3,36,25,15.25,730.616641500476
"266","B3",6,428,4,11.9,33,26,14.75,683.492751696629
"267","B3",6,440,4.2,8.6,33,27,15,706.858347057703
"268","B3",6,424,4,9.5,33,28,15.25,730.616641500476
"269","B3",6,443,4,9,32,30,15.5,754.767635024948
"270","B3",6,431,4.5,9.6,32,31,15.75,779.311327631118
"271","B3",6,435,4,10,34,31,16.25,829.576810088555
"272","B3",6,438,5.2,13,36,35,17.75,989.798035421634
"273","B3",6,437,4.3,10.3,39,39,19.5,1194.59060652752
"274","B3",7,370,3.5,8.1,27,17,11,380.132711084365
"275","B3",7,370,3,8.5,28.5,17,11.375,406.492636943392
"276","B3",7,371,3.3,9.1,30,22,13,530.929158456675
"277","B3",7,383,4.5,11.7,43,22,16.25,829.576810088555
"278","B3",7,380,3.7,8.4,29,25,13.5,572.55526111674
"279","B3",7,381,3.5,11.7,32.5,28,15.125,718.688406893878
"280","B3",7,372,4.2,11.2,32,29,15.25,730.616641500476
"281","B3",7,372,5.5,11.5,38,30,17,907.92027688745
"282","B3",7,376,4.5,10.4,40,32,18,1017.87601976309
"283","B3",7,369,4,11.7,42,35,19.25,1164.15642769587
"284","B3",7,377,4,10.8,39,37,19,1134.11494794592
"285","B3",7,374,5.5,11.3,40,38,19.5,1194.59060652752
"286","B3",7,373,4,13.7,42,41,20.75,1352.65198691126
"287","B3",7,378,5,12.1,43,41,21,1385.4423602331
"288","B3",7,375,4.5,11.4,45,44,22.25,1555.2847130678
"289","B3",7,379,6,13.1,52,48,25,1963.49540849362
"290","B4",1,644,1.4,3.3,12,8,5,78.5398163397448
"291","B4",1,648,2.2,8.9,26.5,9,8.875,247.449508855409
"292","B4",1,642,2.1,4.4,13,11.5,6.125,117.85881189483
