"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob"
"293","B4",1,637,3,6.3,19,16,8.75,240.528187540469
"294","B4",1,638,2.8,5.9,21.3,16,9.325,273.179152688309
"295","B4",1,640,2,8.3,18,16.5,8.625,233.705040995953
"296","B4",1,643,1.7,5.7,20,17,9.25,268.802521422777
"297","B4",1,633,2.8,7.2,19,18,9.25,268.802521422777
"298","B4",1,635,2.4,8,20,19.3,9.825,303.259902346431
"299","B4",1,641,2.5,7.6,22,21.3,10.825,368.13379064306
"300","B4",1,645,1.2,6.8,24.7,22,11.675,428.216750142965
"301","B4",1,646,2.5,6.2,25,22,11.75,433.736135736241
"302","B4",1,639,3.5,10,26,23,12.25,471.435247579318
"303","B4",1,634,2.5,12.3,28,23.2,12.8,514.718540364152
"304","B4",1,636,2.4,9.4,28,23.5,12.875,520.768069717721
"305","B4",1,647,6.7,2.7,33.5,27,15.125,718.688406893878
"306","B4",2,552,3.5,11.6,33.5,26,14.875,695.126461991954
"307","B4",2,556,4.5,11.5,33,28,15.25,730.616641500476
"308","B4",2,550,4.2,9.2,35,28,15.75,779.311327631118
"309","B4",2,559,3.5,9.7,32,29,15.25,730.616641500476
"310","B4",2,564,3.7,10.7,35,30,16.25,829.576810088555
"311","B4",2,546,4.5,11.5,44,30,18.5,1075.21008569111
"312","B4",2,547,4.8,12.7,35,31,16.5,855.298599939821
"313","B4",2,548,4.5,8.6,34.5,32,16.625,868.306757021091
"314","B4",2,563,4.5,12,38,32,17.5,962.112750161874
"315","B4",2,555,3.7,11.2,33,33,16.5,855.298599939821
"316","B4",2,553,3.7,10.6,39,33,18,1017.87601976309
"317","B4",2,562,4.2,12.2,37,34,17.75,989.798035421634
"318","B4",2,551,4,13,37.5,35,18.125,1032.06227408946
"319","B4",2,554,5.5,10.9,38,35,18.25,1046.34670318625
"320","B4",2,558,5.5,12.5,40,35,18.75,1104.46616727766
"321","B4",2,561,5,10,40,36,19,1134.11494794592
"322","B4",2,557,5,11.9,32.5,40,18.125,1032.06227408946
"323","B4",2,560,5.5,11.2,47,43,22.5,1590.43128087983
"324","B4",2,549,6.2,13.3,52,45,24.25,1847.45282985165
"325","B4",3,629,1,3.5,14,7,5.25,86.5901475145687
"326","B4",3,612,3,7.4,22,13,8.75,240.528187540469
"327","B4",3,631,1.8,4.1,15,14,7.25,165.129963854314
"328","B4",3,614,2.3,4.6,21.5,15.5,9.25,268.802521422777
"329","B4",3,628,3.3,5.5,20.5,16,9.125,261.586675796563
"330","B4",3,630,1.5,5.3,27,16,10.75,363.05030103047
"331","B4",3,632,1.8,4,20,17,9.25,268.802521422777
"332","B4",3,611,2,6,23,17,10,314.159265358979
"333","B4",3,624,2.2,4.8,16.5,18,8.625,233.705040995953
"334","B4",3,610,2,5,26,18,11,380.132711084365
"335","B4",3,623,2.2,4,22,21,10.75,363.05030103047
"336","B4",3,618,1.7,6,24,21,11.25,397.607820219958
"337","B4",3,626,2.5,6,29.5,22,12.875,520.768069717721
"338","B4",3,619,1.5,7,25,23,12,452.38934211693
"339","B4",3,627,2.8,7.3,32,23.5,13.875,604.805673201247
"340","B4",3,621,2.3,7.5,27,26,13.25,551.545860245858
"341","B4",3,613,4.2,7.5,27,26,13.25,551.545860245858
"342","B4",3,617,3.4,7.8,27,26,13.25,551.545860245858
"343","B4",3,616,2.5,8.4,27,27,13.5,572.55526111674
"344","B4",3,625,2.7,9.4,25.5,29,13.625,583.207223707818
"345","B4",3,620,3.8,6.1,30,29,14.75,683.492751696629
"346","B4",3,588,4,12,38,32,17.5,962.112750161874
"347","B4",3,622,3.2,8.1,33,33,16.5,855.298599939821
"348","B4",4,587,2.3,5.1,18,11.5,7.375,170.873187924157
"349","B4",4,601,3.5,11.2,36,18,13.5,572.55526111674
"350","B4",4,596,3.5,9.3,31,24,13.75,593.95736106932
"351","B4",4,597,3.2,7.6,32,25,14.25,637.939658219577
"352","B4",4,607,2.3,9.1,41,25,16.5,855.298599939821
"353","B4",4,591,3.5,8.2,35,28,15.75,779.311327631118
"354","B4",4,608,2.8,8.7,35,28,15.75,779.311327631118
"355","B4",4,603,3.5,9.8,33,30,15.75,779.311327631118
"356","B4",4,590,4,11.8,35,31,16.5,855.298599939821
"357","B4",4,589,4.5,11.8,35,32,16.75,881.413088872786
"358","B4",4,593,3,11.3,33,33,16.5,855.298599939821
"359","B4",4,605,4,10,34.5,33,16.875,894.617595494906
"360","B4",4,598,4.5,10.4,37,33,17.5,962.112750161874
"361","B4",4,600,2,9.1,35,34,17.25,934.820163983813
"362","B4",4,602,5.3,11.6,47,34,20.25,1288.24933751266
"363","B4",4,609,4.3,12,39.5,35,18.625,1089.78903909917
"364","B4",4,595,3.5,11.8,41,35,19,1134.11494794592
"365","B4",4,594,3,11.8,41,36,19.25,1164.15642769587
"366","B4",4,592,4,12,40,37,19.25,1164.15642769587
"367","B4",4,599,4.3,11.5,41,38,19.75,1225.41748444087
"368","B4",4,606,4,11.8,42,38,20,1256.63706143592
"369","B4",4,604,5,15.2,49,44,23.25,1698.22717880613
"370","B4",5,576,3,7.6,31.5,21.5,13.25,551.545860245858
"371","B4",5,575,3.7,7.7,26,23,12.25,471.435247579318
"372","B4",5,570,4.5,9.2,34.5,25.5,15,706.858347057703
"373","B4",5,566,3.5,7.8,28,27,13.75,593.95736106932
"374","B4",5,585,5.2,11.2,28,27,13.75,593.95736106932
"375","B4",5,581,3.2,8.7,30,27,14.25,637.939658219577
"376","B4",5,568,2.8,7.2,26,28,13.5,572.55526111674
"377","B4",5,569,3,10.7,29,28,14.25,637.939658219577
"378","B4",5,565,4,10.4,33,28,15.25,730.616641500476
"379","B4",5,567,4.7,10.6,35.5,28,15.875,791.73043608984
"380","B4",5,583,4.5,10.8,33,29.5,15.625,766.990393942821
"381","B4",5,571,3.5,8.4,32,32,16,804.247719318987
"382","B4",5,584,4.2,9.6,36,33,17.25,934.820163983813
"383","B4",5,580,4.5,10.9,36,33,17.25,934.820163983813
"384","B4",5,577,2.5,10.2,35,34,17.25,934.820163983813
"385","B4",5,573,3.8,8.2,35.5,34,17.375,948.417369687631
"386","B4",5,572,3.7,9.5,39,34,18.25,1046.34670318625
"387","B4",5,586,4.3,10.4,42,38,20,1256.63706143592
"388","B4",5,579,4,11.1,45,39,21,1385.4423602331
"389","B4",5,574,3.8,10.5,38,40,19.5,1194.59060652752
"390","B4",5,578,4.8,12.6,36,44,20,1256.63706143592
"391","B4",5,582,2.8,10.9,43,48,22.75,1625.97054777357
"392","B4",6,535,3.5,9.4,23,20,10.75,363.05030103047
"393","B4",6,542,3.5,10.8,29,25,13.5,572.55526111674
"394","B4",6,543,5.5,11.7,32,31,15.75,779.311327631118
"395","B4",6,529,3.5,12.3,34,31,16.25,829.576810088555
"396","B4",6,540,4.2,12.5,35,31,16.5,855.298599939821
"397","B4",6,541,4,14,39,32,17.75,989.798035421634
"398","B4",6,533,5.2,15.2,49,32,20.25,1288.24933751266
"399","B4",6,545,4.5,12.1,47,33,20,1256.63706143592
"400","B4",6,538,5.7,15,36,34,17.5,962.112750161874
"401","B4",6,532,5,10.4,36.5,35,17.875,1003.78794020715
"402","B4",6,530,5.2,13,40,36,19,1134.11494794592
"403","B4",6,536,4,10.4,26,37,15.75,779.311327631118
"404","B4",6,537,5.8,13.4,43,37,20,1256.63706143592
"405","B4",6,528,3.8,11.9,42,41,20.75,1352.65198691126
"406","B4",6,531,4.5,12.7,43,42,21.25,1418.62543263664
"407","B4",6,534,6,14.8,52,43,23.75,1772.05460616549
"408","B4",6,539,5.2,12.9,49,45,23.5,1734.94454294496
"409","B4",6,544,4.5,13.1,47,46,23.25,1698.22717880613
"410","B4",7,522,2.5,6.5,22,9.5,7.875,194.82783190778
"411","B4",7,526,3.5,9.7,13,13,6.5,132.732289614169
"412","B4",7,527,3.2,5.1,21,13.5,8.625,233.705040995953
"413","B4",7,520,1.5,8.3,31,19,12.5,490.873852123405
"414","B4",7,516,2.8,9.7,29.5,22,12.875,520.768069717721
"415","B4",7,521,3.7,9.1,27,23,12.5,490.873852123405
"416","B4",7,514,3.5,11.2,25,24.5,12.375,481.105462466149
"417","B4",7,512,3.2,11.4,33,26,14.75,683.492751696629
"418","B4",7,524,4.5,7.9,35,26,15.25,730.616641500476
"419","B4",7,525,1,7,27,27,13.5,572.55526111674
"420","B4",7,508,3,10.7,32,27,14.75,683.492751696629
"421","B4",7,523,2.5,10.4,31,29,15,706.858347057703
"422","B4",7,518,4.5,10.1,33,31,16,804.247719318987
"423","B4",7,509,4,8.9,32,32,16,804.247719318987
"424","B4",7,510,5.5,11.4,47,32,19.75,1225.41748444087
"425","B4",7,517,4.7,11.7,48,32,20,1256.63706143592
"426","B4",7,513,3.8,10.6,33,33,16.5,855.298599939821
"427","B4",7,519,3,10.6,37,34,17.75,989.798035421634
"428","B4",7,511,3.8,9.4,38,35,18.25,1046.34670318625
